channel,z_m,rms_ratio,width_ch,width_vs_gauge,persistence,hi_lo_power,neighbour_corr,verdict
8,10.12849616,4.217144699067425,2.0,0.1538462123605609,0.6666666666666666,0.5451368159602945,0.007588244092551091,instrumental
9,11.394558179999999,3.5535259275679727,3.0,0.23076931854084137,0.5,0.9612363259807136,-0.0874746501069116,instrumental
12,15.19274424,3.838758043354983,8.0,0.6153848494422436,0.5,1.3496973808707449,0.0196240387460402,instrumental
13,16.45880626,3.8911420377127355,8.0,0.6153848494422436,0.5,0.780314344059616,-0.002063192845380866,instrumental
14,17.72486828,3.7441029167440236,8.0,0.6153848494422436,0.6666666666666666,1.0704516738407617,-0.028672750384793583,instrumental
16,20.25699232,3.5417970840564776,12.0,0.9230772741633655,0.3333333333333333,0.9547167706765628,-0.008570819611069388,wider than gauge; check
17,21.523054339999998,3.607562329074076,12.0,0.9230772741633655,0.5,1.5517907120653232,-0.026546111429489573,wider than gauge; check
18,22.789116359999998,3.1661485722780434,23.0,1.7692314421464503,0.3333333333333333,2.20190695064976,-0.03660791734444536,wider than gauge; check
21,26.587302419999997,3.8928018185262245,2.0,0.1538462123605609,0.5,0.6450064466984018,0.024117580151520535,instrumental
