seq,cl,time,mag,depth,lat,lon,km_from_safod,t_strike,r_normal,diam_m
0,63,2025-04-14 19:06:30+00:00,2.05,4.49,36.03919,-120.59395,7.786826962140922,-7.674381011343483,1.3185409478114085,83.34114619514318
0,63,2025-07-12 05:05:05+00:00,2.22,4.509,36.03866,-120.59333,7.706514314514876,-7.593265059704888,1.316316304270225,83.34114619514318
1,42,2025-04-02 15:47:14+00:00,1.08,1.749,36.00276,-120.56288,2.865999683727549,-2.8334014820660043,0.43103390649992224,70.45869515503057
1,42,2025-05-11 14:09:32+00:00,0.82,1.766,36.0029,-120.56214,2.839768680823986,-2.7973284337182327,0.48912145168689736,70.45869515503057
