cluster,n,first,last,mean_interval_d,cv,dmag,mag_mean,radius_m,slip_crack_mm,slip_nj_mm,rate_crack_mmyr,rate_nj_mmyr,passes,note
0,2,2024-05-13 09:30:29,2025-07-27 13:00:10,440.14561342592594,,0.05999999999999994,0.81,14.441720455312975,1.0507296901551537,38.33098680392022,0.8719364856143405,31.80854813287387,True,
1,2,2024-05-22 21:31:27,2026-01-06 13:06:43,593.6494907407407,,0.33999999999999986,1.8599999999999999,48.37477234508498,3.519581320989895,71.00680962545339,2.1654648029555474,43.687794936597214,False,
2,2,2024-06-23 03:52:08,2025-04-23 17:44:24,304.57796296296294,,0.43999999999999995,1.21,22.888584437051943,1.6652943330436776,48.478592245354946,1.9970215482010005,58.13554482196423,False,rate implausible
3,2,2024-07-08 08:30:36,2025-04-06 14:52:18,272.26506944444446,,0.16000000000000003,0.73,13.171005594193407,0.9582768666545773,36.57210853896189,1.28555097523079,49.06234454207691,True,
4,1,2025-01-19 06:08:54,2025-01-19 06:08:54,,,,2.15,,,,,,False,burst collapsed to one event
5,2,2025-03-01 19:33:38,2025-05-16 10:49:32,75.63604166666667,,0.010000000000000009,0.825,14.693286072201994,1.0690327353847993,38.67007371948393,5.162409322265978,186.73960343255453,False,rate implausible
6,1,2025-03-03 23:42:03,2025-03-03 23:42:03,,,,1.19,,,,,,False,burst collapsed to one event
7,2,2025-04-02 15:46:47,2025-05-11 14:09:32,38.93246527777778,,0.27000000000000013,0.9550000000000001,17.065496741318626,1.2416265886626252,41.73736237309132,11.648481756121386,391.5645078728944,False,rate implausible
8,1,2025-04-06 06:19:56,2025-04-06 06:19:56,,,,1.77,,,,,,False,burst collapsed to one event
9,1,2025-04-06 13:51:22,2025-04-06 13:51:22,,,,1.62,,,,,,False,burst collapsed to one event
