seq,time,mag,depth,lat,lon,km_from_safod,id
4,2024-06-22 19:26:50.650000+00:00,1.58,2.2,36.002333333333,-120.56016666667,3.2348899484971394,nc75025517
4,2024-06-09 16:35:44.120000+00:00,1.85,2.63,35.999833333333,-120.56016666667,2.964848641224049,nc75019887
5,2025-03-20 04:45:51.610000+00:00,0.95,9.87,35.958333333333,-120.51666666667,3.624243759189517,nc75151882
5,2024-12-29 01:26:29.780000+00:00,1.45,9.95,35.955666666667,-120.513,4.057241848314705,nc75109116
5,2024-07-05 08:04:57.020000+00:00,1.2,10.05,35.957,-120.51566666667,3.7753749014437346,nc75031012
5,2024-07-03 02:54:45.520000+00:00,1.03,9.98,35.955666666667,-120.51133333333,4.187536606172238,nc75030036
6,2025-03-19 02:19:16.920000+00:00,0.78,3.59,35.991166666667,-120.55283333333,1.910232857520683,nc75151362
6,2025-02-07 12:50:56.980000+00:00,0.81,3.91,35.987333333333,-120.54666666667,1.5582161607764358,nc75128961
6,2025-02-04 05:27:50.300000+00:00,0.79,3.73,35.990166666667,-120.54933333333,1.8135040741604054,nc75127741
6,2024-05-13 09:30:29.090000+00:00,0.78,4.0,35.992166666667,-120.55483333333,2.035965187720871,nc75005956
7,2025-07-25 03:24:02.120000+00:00,0.79,3.19,35.972333333333,-120.52333333333,2.5851527216464234,nc75214742
7,2025-07-25 02:11:15.870000+00:00,0.58,2.55,35.9715,-120.52216666667,2.697800146165585,nc75214722
7,2024-09-19 21:25:07.860000+00:00,0.62,2.99,35.972,-120.52016666667,2.8719590202987586,nc75064116
8,2025-04-16 17:28:54.170000+00:00,0.68,4.35,36.0015,-120.5635,3.227950363428925,nc75166411
8,2025-04-16 17:26:47.540000+00:00,0.78,4.45,36.002166666667,-120.56416666667,3.317548472596236,nc75166406
8,2024-06-10 01:20:17.870000+00:00,0.63,4.33,36.006,-120.56283333333,3.6890994386427094,nc75020097
9,2025-04-06 08:17:09.960000+00:00,1.61,3.62,35.9995,-120.5645,3.05013720275306,nc75161102
9,2025-04-06 06:19:55.500000+00:00,1.77,3.59,35.998666666667,-120.56133333333,2.86829409103426,nc75161062
9,2024-12-11 06:46:59.250000+00:00,2.03,3.8099999427795,36.001167297363,-120.56066894531,3.1197490038251563,nc75101591
10,2025-03-06 04:13:34.090000+00:00,1.0,7.74,36.066666666667,-120.21066666667,32.38498279821643,nc75143651
10,2025-02-14 05:19:14.600000+00:00,1.28,7.89,36.066166666667,-120.21483333333,32.012056376204214,nc75133197
10,2024-10-02 00:49:00.210000+00:00,1.13,8.18,36.062666666667,-120.215,31.875347833260943,nc75069186
11,2025-07-25 12:41:22.020000+00:00,1.53,3.89,36.020833333333,-120.5815,5.8444707984283175,nc75214892
11,2025-04-10 01:01:44.360000+00:00,1.42,4.15,36.018833333333,-120.58466666667,5.786533771856642,nc75162676
12,2025-05-18 06:44:05.760000+00:00,1.01,8.21,36.048833333333,-120.208,32.041272891180036,nc75183892
12,2025-02-19 09:34:27.880000+00:00,1.07,8.45,36.049333333333,-120.20483333333,32.33077919508799,nc75136042
13,2025-05-04 19:41:34.520000+00:00,-0.1,4.04,35.9315,-120.47966666667,8.041265967892041,nc75176451
13,2025-04-05 17:53:02.330000+00:00,-0.14,4.11,35.927666666667,-120.477,8.488267332169698,nc75160677
14,2025-04-16 18:35:17.380000+00:00,0.22,3.49,35.924333333333,-120.47066666667,9.166106089076681,nc75166426
14,2025-02-08 17:03:03.180000+00:00,0.28,3.71,35.925666666667,-120.47133333333,9.02929987299728,nc75129957
15,2025-04-11 01:56:26.330000+00:00,0.22,1.43,36.019666666667,-120.5855,5.904445116603668,nc75163341
15,2024-07-11 08:54:42.890000+00:00,0.55,1.3,36.018166666667,-120.58816666667,5.890635091946029,nc75033602
16,2025-03-27 05:53:47.440000+00:00,0.0,2.11,35.988,-120.544,1.7149310554163868,nc75156012
16,2025-02-19 14:45:10.190000+00:00,-0.04,2.13,35.992,-120.54583333333,2.076860471601964,nc75136127
17,2025-03-13 00:51:40.840000+00:00,0.62,2.83,36.012333333333,-120.56783333333,4.493921091954071,nc75147866
17,2025-01-24 02:17:17.930000+00:00,0.68,2.91,36.012833333333,-120.57266666667,4.701027219422012,nc75121971
18,2025-03-10 09:01:26.640000+00:00,0.93,8.61,36.051833333333,-120.21183333333,31.79759124118363,nc75146156
18,2025-03-10 08:57:37.390000+00:00,0.99,8.29,36.051833333333,-120.215,31.523604623355308,nc75146151
19,2025-03-06 16:35:16.960000+00:00,0.62,5.02,36.041,-120.61183333333,9.190377407904212,nc75002733
19,2025-03-06 12:38:32.100000+00:00,0.31,4.92,36.041333333333,-120.615,9.389550122561445,nc75143811
20,2025-03-04 02:52:05.470000+00:00,1.79,7.76,36.089,-120.61483333333,13.980179978177242,nc75142451
20,2025-03-02 13:22:54.270000+00:00,1.69,7.95,36.088166666667,-120.617,13.975881791019308,nc75141626
21,2025-02-20 02:58:47.060000+00:00,0.35,1.78,36.0635,-120.639,12.659785775153148,nc75136427
21,2024-10-27 01:40:05.600000+00:00,0.37,2.07,36.066333333333,-120.638,12.85456973010038,nc75079421
22,2025-02-16 17:08:11.400000+00:00,1.1,9.0,36.0625,-120.20116666667,33.055332256744414,nc75134697
22,2024-10-14 14:19:48.600000+00:00,1.03,9.0,36.062666666667,-120.20533333333,32.703314100700595,nc75074171
23,2025-02-15 20:15:22.400000+00:00,0.86,-0.61,36.032166666667,-120.60316666667,7.937923573773853,nc75134172
23,2024-05-08 01:25:43.140000+00:00,0.94,-0.74,36.030666666667,-120.6045,7.87396767200525,nc75003091
24,2025-02-15 06:59:48.130000+00:00,0.47,5.98,36.0795,-120.63183333333,13.753907750790587,nc75133802
24,2025-02-14 13:18:47.040000+00:00,0.52,6.18,36.081833333333,-120.63266666667,14.014500702101634,nc75133272
25,2025-02-11 01:35:47.970000+00:00,1.85,4.23,36.011666666667,-120.5705,4.506624333219887,nc75131452
25,2025-01-10 17:03:22.120000+00:00,1.69,4.35,36.0155,-120.571,4.9206965184349425,nc75115481
26,2025-01-19 18:53:45.480000+00:00,2.08,5.21,36.061666666667,-120.6255,11.77812526943687,nc75119846
26,2024-09-02 21:22:00.180000+00:00,2.2,5.23,36.058666666667,-120.62383333333,11.41808783891743,nc75056646
27,2025-01-19 15:38:52.020000+00:00,0.91,4.73,36.0575,-120.62283333333,11.260234329861158,nc75119786
27,2024-09-02 21:53:43.100000+00:00,0.99,4.42,36.0575,-120.62366666667,11.302815379050273,nc75056656
28,2024-12-30 04:39:32.700000+00:00,1.02,5.89,36.0525,-120.61316666667,10.317706679805813,nc75109601
28,2024-12-30 04:39:32.700000+00:00,0.98,6.02,36.0515,-120.6105,10.096762362792282,nc75109596
29,2024-12-23 08:16:14.800000+00:00,0.96,3.33,35.9805,-120.54266666667,1.1077575191231026,nc75106936
29,2024-12-23 07:49:42.620000+00:00,0.73,3.28,35.980166666667,-120.543,1.0608882799108104,nc75106931
30,2024-10-23 17:02:29.730000+00:00,0.81,0.47,36.063,-120.63533333333,12.414255189321711,nc75077756
30,2024-06-30 12:27:32.030000+00:00,0.6,0.4,36.0645,-120.63216666667,12.379564675959065,nc75029096
31,2024-09-01 11:39:10.490000+00:00,0.79,3.73,35.996833333333,-120.55666666667,2.573304353012036,nc75056051
31,2024-07-04 00:44:14.710000+00:00,0.93,3.56,35.9985,-120.55883333333,2.792634306082598,nc75030497
