kind,is_rep,variant,band,i,j,pair,dt_days,phase_days,hrsn_cc,das_cc,z_lo,z_hi,dvv,err,n,rms,dvv_edge,tau_s
repeater,True,main,5-20,120,148,2025-04-02/2025-05-11,38.93246527777778,39.0,0.9872999663491724,0.7916169715694473,250.0,550.0,-0.0009683118472283788,0.010208895024423436,242,0.004130884970867995,-0.019678859394081646,0.09785539564309136
repeater,True,main,5-20,120,148,2025-04-02/2025-05-11,38.93246527777778,39.0,0.9872999663491724,0.7916169715694473,550.0,850.0,0.021964280651957272,0.022093436868747436,216,0.007564528663950957,-0.00532901716532978,0.07761748272974536
repeater,True,main,5-20,120,148,2025-04-02/2025-05-11,38.93246527777778,39.0,0.9872999663491724,0.7916169715694473,2.0,25.0,-0.5876780304517868,0.11371978683393184,17,0.0037832814079085115,0.5814343091263818,0.029146549077424776
repeater,True,main,5-20,120,148,2025-04-02/2025-05-11,38.93246527777778,39.0,0.9872999663491724,0.7916169715694473,25.0,50.0,0.5292189096434363,0.435877122900823,17,0.005732010847238029,-0.5113320149984494,0.01823659157543684
repeater,True,main,5-20,120,148,2025-04-02/2025-05-11,38.93246527777778,39.0,0.9872999663491724,0.7916169715694473,50.0,100.0,-0.10206758855329594,0.1126467946048661,40,0.005016792316784438,0.07458115953167137,0.025170288522337637
repeater,True,main,5-20,120,148,2025-04-02/2025-05-11,38.93246527777778,39.0,0.9872999663491724,0.7916169715694473,100.0,200.0,0.04948834768397883,0.05769426143605502,87,0.005485494753445095,-0.033076772505823984,0.03317922861328666
repeater,True,main,5-20,120,148,2025-04-02/2025-05-11,38.93246527777778,39.0,0.9872999663491724,0.7916169715694473,200.0,400.0,0.0169234989234248,0.020536599508220333,161,0.004516086643119756,0.008027912464318613,0.06090874428561975
repeater,True,main,5-20,120,148,2025-04-02/2025-05-11,38.93246527777778,39.0,0.9872999663491724,0.7916169715694473,400.0,600.0,0.05623307679476819,0.022995969540587195,151,0.004541341716327314,-0.016178114703689215,0.06509885812265248
repeater,True,main,5-20,120,148,2025-04-02/2025-05-11,38.93246527777778,39.0,0.9872999663491724,0.7916169715694473,600.0,850.0,0.041539381085473656,0.03527094690447032,184,0.007782951575356479,-0.031780298872969404,0.06191701608881667
repeater,True,acausal,5-20,120,148,2025-04-02/2025-05-11,38.93246527777778,39.0,0.9872999663491724,0.7916169715694473,2.0,75.0,-0.10649682101895688,0.3666744384819324,12,0.004179168295448835,,0.06542062332082034
repeater,True,acausal,5-20,120,148,2025-04-02/2025-05-11,38.93246527777778,39.0,0.9872999663491724,0.7916169715694473,75.0,250.0,-0.03482806163233359,0.07627689588603463,35,0.007634573657712977,0.32299711577220663,0.052763774591917764
