i,j,das,hrsn,nsta,dt_days,is_cand,t_i,t_j,m_i,m_j
63,126,-0.1700057931452836,-0.1514662568849696,7,79.52114583333334,False,2025-01-16 19:52:54+00:00,2025-04-06 08:23:21+00:00,0.28,1.86
56,75,0.22905974979035829,0.2685582703954722,8,35.110983796296296,False,2024-12-30 04:39:33+00:00,2025-02-03 07:19:22+00:00,1.02,1.01
139,184,0.25095571011406853,0.2643792600510076,9,100.70438657407408,False,2025-04-16 17:26:48+00:00,2025-07-26 10:21:07+00:00,0.78,1.0
81,189,0.1216780365690499,0.23799928408005247,7,172.20645833333333,False,2025-02-08 20:53:42+00:00,2025-07-31 01:51:00+00:00,1.19,1.27
147,196,0.32836622369388685,0.24198055535341145,6,240.03717592592594,False,2025-05-11 12:13:11+00:00,2026-01-06 13:06:43+00:00,1.07,1.69
17,132,-0.28342957153541426,0.23763860042605134,4,276.83622685185185,False,2024-07-05 08:04:57+00:00,2025-04-08 04:09:07+00:00,1.2,0.94
110,201,-0.13825024178265058,0.18108878981624743,9,299.4693287037037,False,2025-03-22 01:58:35+00:00,2026-01-15 13:14:25+00:00,2.23,0.7
61,172,0.22115115829448295,0.03247463146186487,6,161.71975694444444,False,2025-01-10 23:05:32+00:00,2025-06-21 16:21:59+00:00,0.85,2.41
0,59,-0.18161565879312913,-0.29461660366616355,5,242.2198263888889,False,2024-05-10 12:29:58+00:00,2025-01-07 17:46:31+00:00,1.12,0.57
31,53,-0.1893389464305652,-0.2136785839458981,7,117.14776620370371,False,2024-09-02 21:53:43+00:00,2024-12-29 01:26:30+00:00,0.99,1.45
31,199,0.20207243159886676,0.28894975514574156,7,499.2585300925926,False,2024-09-02 21:53:43+00:00,2026-01-15 04:06:00+00:00,0.99,1.92
120,173,-0.25303333868050637,0.3471119396306065,7,85.24041666666666,False,2025-04-02 15:46:47+00:00,2025-06-26 21:32:59+00:00,1.09,1.53
76,105,0.1508334935369743,-0.20926731364860812,8,29.023333333333333,False,2025-02-03 19:37:12+00:00,2025-03-04 20:10:48+00:00,1.31,1.2
75,142,0.182764174144378,0.20592168903382452,8,77.73055555555555,False,2025-02-03 07:19:22+00:00,2025-04-22 00:51:22+00:00,1.01,0.42
