i,j,sep_m,dM,mmax,rad_m,dt_days,t1,t2
25,129,65.2134615955067,0.7100000000000002,1.85,47.821030905058635,214.28090277777778,2024-07-11 18:51:17+00:00,2025-02-11 01:35:47+00:00
167,195,70.43483701418829,0.2600000000000001,1.08,19.7069281966514,38.9321412037037,2025-04-02 15:47:14+00:00,2025-05-11 14:09:31+00:00
110,115,78.95123327788825,0.48,2.15,67.54900157596033,3.512974537037037,2025-01-19 06:08:54+00:00,2025-01-22 18:27:35+00:00
182,228,83.32698841969776,0.17000000000000037,2.22,73.21818082344411,88.41568287037038,2025-04-14 19:06:30+00:00,2025-07-12 05:05:05+00:00
102,210,92.1129691385592,0.6799999999999999,1.7,40.23638307198102,154.67368055555556,2024-12-30 04:39:32+00:00,2025-06-02 20:49:38+00:00
61,115,100.86998779248424,0.5300000000000002,2.2,71.55153155134259,141.87887731481482,2024-09-02 21:22:00+00:00,2025-01-22 18:27:35+00:00
112,115,111.07916571024336,0.41000000000000014,2.08,62.31877878681305,2.981828703703704,2025-01-19 18:53:45+00:00,2025-01-22 18:27:35+00:00
110,112,111.51592810270478,0.06999999999999984,2.15,67.54900157596033,0.5311458333333333,2025-01-19 06:08:54+00:00,2025-01-19 18:53:45+00:00
12,17,116.16752632795666,2.13,3.24,236.92938886393085,6.7961226851851855,2024-06-19 02:13:46+00:00,2024-06-25 21:20:11+00:00
61,112,133.84488105897083,0.1200000000000001,2.2,71.55153155134259,138.8970486111111,2024-09-02 21:22:00+00:00,2025-01-19 18:53:45+00:00
124,229,145.25781392885239,0.78,1.57,34.64327443548193,159.26787037037036,2025-02-04 05:27:50+00:00,2025-07-13 11:53:34+00:00
288,290,148.06130118507653,1.22,1.92,51.834502454232826,0.3808449074074074,2026-01-15 04:06:00+00:00,2026-01-15 13:14:25+00:00
169,179,151.8694162395642,0.55,1.62,36.69601749812335,2.2906944444444446,2025-04-06 06:12:56+00:00,2025-04-08 13:11:32+00:00
61,110,158.6013159963793,0.050000000000000266,2.2,71.55153155134259,138.3659027777778,2024-09-02 21:22:00+00:00,2025-01-19 06:08:54+00:00
180,232,164.53498963611113,0.41999999999999993,1.42,29.14868280069569,107.38844907407407,2025-04-10 01:01:44+00:00,2025-07-26 10:21:06+00:00
4,176,167.66846284403837,0.31000000000000005,1.12,20.635687109102925,331.0988310185185,2024-05-10 12:29:58+00:00,2025-04-06 14:52:17+00:00
113,114,179.91255777703196,1.09,2.1,63.77036962004037,0.006724537037037037,2025-01-20 05:14:48+00:00,2025-01-20 05:24:29+00:00
218,222,181.91890808858864,1.1999999999999997,2.28,78.45469424669828,8.659872685185185,2025-06-21 12:22:02+00:00,2025-06-30 04:12:15+00:00
15,189,184.46414547307307,0.43999999999999995,1.43,29.48620863992261,304.57796296296294,2024-06-23 03:52:07+00:00,2025-04-23 17:44:23+00:00
141,147,185.00290344909087,0.10000000000000009,1.79,44.6291827606918,1.5619328703703703,2025-03-02 13:22:54+00:00,2025-03-04 02:52:05+00:00
147,151,189.95238929074208,0.5900000000000001,1.79,44.6291827606918,0.7213194444444444,2025-03-04 02:52:05+00:00,2025-03-04 20:10:47+00:00
170,172,190.50299713815633,0.09000000000000008,1.86,48.37477234508498,0.0857175925925926,2025-04-06 06:19:55+00:00,2025-04-06 08:23:21+00:00
176,195,194.61010025630537,0.009999999999999898,0.82,14.608947696759518,34.970300925925926,2025-04-06 14:52:17+00:00,2025-05-11 14:09:31+00:00
