idx,tag,time,mag,depth,lat,lon,t,r,km_safod,cl
188,ev_20250712T050505,2025-07-12 05:05:05+00:00,2.22,4.509,36.03866,-120.59333,-7.593265059704888,1.316316304270225,7.706514314514876,169
189,ev_20250713T115335,2025-07-13 11:53:35+00:00,1.57,4.052,35.9891,-120.54926,-0.8928765804823781,0.2235729021196908,0.9204419756487237,182
190,ev_20250713T201505,2025-07-13 20:15:05+00:00,1.04,4.64,36.03657,-120.59647,-7.628715716580544,0.9522206588536092,7.687914389972784,20
192,ev_20250726T102107,2025-07-26 10:21:07+00:00,1.0,4.896,36.02194,-120.57772,-5.285545331852172,0.9948761237986136,5.378361084639896,54
193,ev_20250727T130010,2025-07-27 13:00:10+00:00,0.84,4.885,35.98859,-120.55298,-1.089452671240148,-0.0531988556979714,1.090750769479384,58
194,ev_20250729T161251,2025-07-29 16:12:51+00:00,0.86,3.82,36.04587,-120.59739,-8.418443765327849,1.6248841859092638,8.573823187330454,67
195,ev_20250730T125930,2025-07-30 12:59:30+00:00,0.76,6.993,35.97163,-120.5276,1.8587237867015347,0.2280785564785147,1.872664930833975,19
196,ev_20250731T004600,2025-07-31 00:46:00+00:00,1.29,4.237,35.99481,-120.55813,-1.9061424105894464,0.1081840502742186,1.909209961785628,12
197,ev_20250731T015100,2025-07-31 01:51:00+00:00,1.27,4.153,35.99403,-120.54867,-1.2429519779047986,0.6487222862788341,1.4020592798067737,13
198,ev_20250806T004423,2025-08-06 00:44:23+00:00,0.93,3.204,36.04023,-120.60346,-8.361194577940608,0.7952636434550713,8.398929636137265,142
199,ev_20250807T090509,2025-08-07 09:05:09+00:00,0.81,2.945,36.00135,-120.57095,-3.2359724886849364,-0.1932545325793688,3.241738000191912,88
200,ev_20250808T143140,2025-08-08 14:31:40+00:00,0.8,5.836,36.04544,-120.492,-1.6795108201146087,8.296201176542157,8.464497064595244,128
201,ev_20250811T070249,2025-08-11 07:02:49+00:00,0.88,0.502,36.03068,-120.60118,-7.465284777628903,0.1894702664635597,7.467688785224756,149
202,ev_20260105T071336,2026-01-05 07:13:36+00:00,1.71,0.625,36.03317,-120.60177,-7.698593546467724,0.3477050485656581,7.70644155200781,172
203,ev_20260106T051034,2026-01-06 05:10:34+00:00,1.55,3.059,36.08588,-120.64734,-14.742078149128456,1.5926785061796045,14.827862050176254,7
204,ev_20260106T130643,2026-01-06 13:06:43+00:00,1.69,3.051,35.98474,-120.54255,-0.1231756433670892,0.3076795090740836,0.3314195519624113,179
205,ev_20260107T053346,2026-01-07 05:33:46+00:00,1.08,0.189,36.03142,-120.60433,-7.723875319221952,0.0472420653107712,7.724019792803539,130
206,ev_20260113T153149,2026-01-13 15:31:49+00:00,1.13,4.631,36.02558,-120.58472,-6.017087949378515,0.8357104241127922,6.074846442794001,133
207,ev_20260115T040600,2026-01-15 04:06:00+00:00,1.92,2.031,36.06809,-120.63032,-12.260524542116972,1.276818550445583,12.32682958666236,151
208,ev_20260115T061110,2026-01-15 06:11:10+00:00,1.95,0.633,36.06255,-120.64014,-12.449720259998069,0.2164777433236038,12.45160219271242,152
209,ev_20260115T131425,2026-01-15 13:14:25+00:00,0.7,1.927,36.06715,-120.63047,-12.196162034695863,1.193369436226452,12.254407329115358,24
210,ev_20260116T124633,2026-01-16 12:46:33+00:00,0.91,0.281,36.0588,-120.63786,-12.009825037087182,0.0666989437329137,12.010010248561043,32
211,ev_20260117T023950,2026-01-17 02:39:50+00:00,0.91,3.177,36.01932,-120.58755,-5.704957022719217,0.1634788492108305,5.707298832653903,131
212,ev_20260121T094534,2026-01-21 09:45:34+00:00,2.01,2.024,36.06477,-120.62853,-11.885612087599176,1.1296729370432723,11.93917650600625,4
213,ev_20260124T225802,2026-01-24 22:58:02+00:00,0.6,11.273,35.8868,-120.43716,14.282305826389024,-0.6875520248358988,14.298845670380592,33
214,ev_20260126T024629,2026-01-26 02:46:29+00:00,0.78,5.065,35.99136,-120.55266,-1.2868798962996872,0.184946463862933,1.3001019429243603,86
