sep_m,dM,mmax,rad_m,dt_days,cc,acausal,sem,tag
70.43483701418829,0.2600000000000001,1.08,19.7069281966514,38.9321412037037,0.9197800604366667,0.46462549702857187,0.5439812288337187,20250402/20250511
78.95123327788825,0.48,2.15,67.54900157596033,3.512974537037037,0.7720264365931994,0.3352273869226924,0.5424204489837328,20250119/20250122
83.32698841969776,0.1700000000000003,2.22,73.21818082344411,88.41568287037038,0.30968919833486674,0.18431275320803808,0.5682088292815359,20250414/20250712
111.07916571024336,0.4100000000000001,2.08,62.31877878681305,2.981828703703704,0.46324244039873713,0.30576017481676687,0.5424204489837328,20250119/20250122
111.51592810270478,0.0699999999999998,2.15,67.54900157596033,0.5311458333333333,0.6068143115420237,0.33600325433023887,0.684162442370337,20250119/20250119
133.84488105897083,0.1200000000000001,2.2,71.55153155134259,138.8970486111111,0.5852317209255445,0.38750402096746084,0.684162442370337,20240902/20250119
158.6013159963793,0.0500000000000002,2.2,71.55153155134259,138.3659027777778,0.4502197771189564,0.3702481880329147,0.7264644785756521,20240902/20250119
164.5349896361111,0.4199999999999999,1.42,29.14868280069569,107.38844907407407,0.6565461358245819,0.6045490459446474,0.40865931864872035,20250410/20250726
167.66846284403837,0.31,1.12,20.635687109102925,331.0988310185185,0.05865120173940173,0.06574298542865324,0.3764613299009234,20240510/20250406
184.46414547307307,0.4399999999999999,1.43,29.48620863992261,304.57796296296294,0.868787061147428,0.22553533580075164,0.34690944676113616,20240623/20250423
185.0029034490909,0.1,1.79,44.6291827606918,1.5619328703703703,0.2399129741929965,0.20240614345419577,0.24319127044094555,20250302/20250304
190.5029971381564,0.09,1.86,48.37477234508498,0.0857175925925926,0.5226443008901566,0.43823775178443275,0.7532645668614096,20250406/20250406
194.61010025630537,0.0099999999999998,0.82,14.608947696759518,34.970300925925926,0.3424580737663931,0.37350986166227046,0.5439812288337187,20250406/20250511
