tag_i,tag_j,t_i,t_j,m_i,m_j,dt_days,das_min,das_2_8,das_4_16,das_10_40,hrsn,nsta,kind
ev_20240901T170140,ev_20250701T112654,2024-09-01 17:01:40+00:00,2025-07-01 11:26:54+00:00,1.46,1.86,302.76752314814814,0.726616817364116,0.8062079495911756,0.8003324343986121,0.726616817364116,0.8528463165078974,7,candidate
ev_20240708T083036,ev_20250406T145218,2024-07-08 08:30:36+00:00,2025-04-06 14:52:18+00:00,0.65,0.81,272.26506944444446,0.6906482619882629,0.6906482619882629,0.7816782444582686,0.8084366860086808,0.9952365732712306,5,candidate
ev_20240901T113911,ev_20250701T112654,2024-09-01 11:39:11+00:00,2025-07-01 11:26:54+00:00,0.79,1.86,302.9914699074074,0.6753310799017552,0.6831628877057149,0.7754843149407907,0.6753310799017552,0.8178510611406025,7,candidate
ev_20240623T035208,ev_20250423T174424,2024-06-23 03:52:08+00:00,2025-04-23 17:44:24+00:00,0.99,1.43,304.57796296296294,0.6491723193856918,0.6491723193856918,0.7386274003737843,0.7123757673851503,0.9930201480553411,3,candidate
ev_20250402T154647,ev_20250511T140932,2025-04-02 15:46:47+00:00,2025-05-11 14:09:32+00:00,1.09,0.82,38.93246527777778,0.6029687770434103,0.6029687770434103,0.7295450498763393,0.7689856729805268,0.9872999663491722,8,candidate
ev_20241006T141305,ev_20250408T040907,2024-10-06 14:13:05+00:00,2025-04-08 04:09:07+00:00,0.77,0.94,183.5805787037037,0.5686576109952807,0.6214396821116888,0.6450719357820203,0.5686576109952807,0.8562033843901184,6,candidate
ev_20241007T174227,ev_20241223T074943,2024-10-07 17:42:27+00:00,2024-12-23 07:49:43+00:00,0.71,0.73,76.58837962962963,0.5536855540106908,0.6990420426613272,0.6950430288872154,0.5536855540106908,0.717283184698114,7,candidate
ev_20250110T170322,ev_20250323T000218,2025-01-10 17:03:22+00:00,2025-03-23 00:02:18+00:00,1.69,1.19,71.29092592592593,0.5530872111659845,0.6405388559719043,0.6939564040771115,0.5530872111659845,0.8503771290332849,7,candidate
ev_20241007T174227,ev_20241223T081615,2024-10-07 17:42:27+00:00,2024-12-23 08:16:15+00:00,0.71,0.96,76.60680555555555,0.5318162580219006,0.7048251903125612,0.6529426907438171,0.5318162580219006,0.7686110831834522,7,candidate
ev_20250402T154714,ev_20250511T140932,2025-04-02 15:47:14+00:00,2025-05-11 14:09:32+00:00,1.08,0.82,38.93215277777778,0.5233203820569982,0.5233203820569982,0.68191860582672,0.7449080455531762,0.9624622562233114,8,candidate
ev_20250211T052714,ev_20250519T145612,2025-02-11 05:27:14+00:00,2025-05-19 14:56:12+00:00,0.84,2.0,97.39511574074074,0.5207001416045638,0.7332114114773676,0.5207001416045638,0.5310674755145464,0.6581476160455183,9,candidate
ev_20250406T081710,ev_20250511T140932,2025-04-06 08:17:10+00:00,2025-05-11 14:09:32+00:00,1.61,0.82,35.24469907407408,0.4942010405530999,0.5778947299698515,0.5816177707616591,0.4942010405530999,0.7859882755893761,9,candidate
ev_20240522T213127,ev_20260106T130643,2024-05-22 21:31:27+00:00,2026-01-06 13:06:43+00:00,2.03,1.69,593.6494907407407,0.4782648673489003,0.6821096758068017,0.6730139323515397,0.4782648673489003,0.8568975371422043,2,candidate
ev_20250224T043042,ev_20250807T090509,2025-02-24 04:30:42+00:00,2025-08-07 09:05:09+00:00,1.66,0.81,164.19059027777777,0.4612052731740597,0.5733173270923173,0.6200681874816135,0.4612052731740597,0.47345084251040215,7,candidate
ev_20240609T163544,ev_20240708T083036,2024-06-09 16:35:44+00:00,2024-07-08 08:30:36+00:00,1.85,0.65,28.66310185185185,0.4608806600666557,0.7686140605070084,0.7198943422299391,0.4608806600666557,0.8091364416413038,5,candidate
ev_20250727T130010,ev_20260126T024629,2025-07-27 13:00:10+00:00,2026-01-26 02:46:29+00:00,0.84,0.78,182.5738310185185,0.4560760075992717,0.6437839129288505,0.633256349331064,0.4560760075992717,0.704581390514822,8,candidate
ev_20250511T121311,ev_20250602T234113,2025-05-11 12:13:11+00:00,2025-06-02 23:41:13+00:00,1.07,1.88,22.477800925925926,0.4516213924620002,0.5238111761691137,0.537039443023063,0.4516213924620002,0.7180887750614845,9,candidate
