kind,win,i,j,lab,contam,inc,rad,R,offset_m,dvv,err,n,rms,tau_span,coh_med
repeater,P,120,148,20250402/20250511,0.012094643069989884,62.562618775304685,19.93512367030764,3174.7457669091164,17.71854437711654,0.010749844019286877,0.0018553421324300115,404,0.001894208512066626,0.17931184875,0.21721321217807057
repeater,P,18,130,20240708/20250406,0.007854715003389795,58.337895396901615,14.441720455312975,2981.364427811461,5.269147996957621,0.0028658397006679475,0.0010391483091733388,345,0.0009440178580209428,0.18316829337499999,0.3122109896902301
repeater,P,11,143,20240623/20250423,0.0060830041808835915,60.160758235621586,29.48620863992261,8450.455046671046,50.21657478385206,-0.010359678251283899,0.024346863058455497,172,0.014651672714185656,0.20292936550000001,0.05810632001779706
repeater,P,121,148,20250402/20250511,0.013458853901983052,65.04593000026341,19.7069281966514,3146.6457854220594,12.332241411424109,0.008422308833933098,0.003874021019217893,487,0.004658255224805694,0.17854227,0.17553284087434523
repeater,P,125,148,20250406/20250511,0.012787600995822823,51.126571436684415,36.27596165935505,3519.032135328011,167.6816217174617,0.05910927167115993,0.05316689534514743,255,0.01399484463827528,0.17931184875,0.08647812611836228
repeater,P,26,176,20240901/20250701,0.0033085852428241073,18.228972020042278,48.37477234508498,4815.3287518933785,957.7280053793372,-0.06550366216988295,0.027482058431362425,207,0.008519154822868491,0.213635061,0.09430739845162249
repeater,P,25,176,20240901/20250701,0.006510339950189137,29.512024616069535,48.37477234508498,4206.006641668212,1155.115791713171,-0.15545698969369282,0.042492285715513556,122,0.01399929289946916,0.20717059949999997,0.04666486401228957
acausal,P,120,148,rev,,,,,,0.5126720776690032,0.33326070058856166,52,0.05791673977877287,0.1770031125,0.04168585451261271
acausal,P,18,130,rev,,,,,,0.6042289438565539,0.19194842854353225,72,0.04099988833759887,0.18369844762499996,0.04229447115449345
acausal,P,11,143,rev,,,,,,-0.7836002977418394,1.2030719576935403,29,0.09794847691108756,0.20031279775,0.03597492734530872
acausal,P,121,148,rev,,,,,,1.2890850580555266,1.1777384856410735,69,0.12101540350838305,0.17187258749999998,0.03611003271358265
acausal,P,125,148,rev,,,,,,-0.10799357059860204,0.276279421908769,46,0.054744764281732375,0.1646898525,0.03617599550876539
acausal,P,26,176,rev,,,,,,0.4140235745154806,0.23428197145403562,48,0.029804912592305867,0.2120959035,0.04129574337627876
acausal,P,25,176,rev,,,,,,,,3,,,4.04167042223508e-08
null,P,119,185,ctl,0.002013717720843696,41.22139727597048,14.949233802690072,6503.855739115877,7653.332849133913,-1.0309325671957081,0.4043960124799727,22,0.09680070111098148,0.20532361049999998,0.04214118153874945
null,P,53,83,ctl,0.0034167872700949058,31.5994759493854,47.821030905058635,8610.161900374736,4314.611618793664,0.3082767095457641,0.44492806268615004,91,0.045100076382638285,0.20680291187499997,0.052037800006915894
null,P,64,103,ctl,0.020605305476520012,74.62489374383341,67.54900157596033,11921.780746296394,777.9330270900571,0.2373025106142978,0.6329602800639901,34,0.05823359584785088,0.189897832,0.031468270411106544
null,P,61,140,ctl,0.008425453260365184,80.8482160043508,15.122337771728859,11141.071468598513,350.1937558471807,0.19511144153109589,0.14040362337478096,22,0.061655154883827404,0.24872785199999997,0.034006991943264786
null,P,100,134,ctl,0.003521845400251469,54.68698017791343,29.14868280069569,11683.741467049162,,,,6,,,1.8616299865853197e-09
null,P,7,166,ctl,0.00993310429715365,47.6745099116335,47.821030905058635,5286.129899697078,4316.778919921825,0.8966560199103093,0.47023682780188325,25,0.03155154808772298,0.18716155199999998,0.02823464870302354
