kind,is_rep,i,j,lapse,dvv,err,nsta,coda_cc,dvv_h1,dvv_h2,dt_days,phase_days,hrsn_cc,das_cc,t_i,t_j
repeater,True,120,148,1-6,-0.00015394658726924484,0.002151777570408458,8,0.9952498230736142,-0.00024231796029786415,-0.0003936990979967629,38.93246527777778,39.0,0.9872999663491724,0.7916169715694473,2025-04-02 15:46:47+00:00,2025-05-11 14:09:32+00:00
repeater,True,120,148,2-12,-0.00020264875450028166,9.943659400857876e-05,8,0.9955094304074792,-0.00023459668179505038,-8.666004428080302e-05,38.93246527777778,39.0,0.9872999663491724,0.7916169715694473,2025-04-02 15:46:47+00:00,2025-05-11 14:09:32+00:00
repeater,True,120,148,4-14,-0.00019479426154335043,0.00011115920359807049,8,0.987634581083525,-0.00039161176830180893,-0.0001230205646183268,38.93246527777778,39.0,0.9872999663491724,0.7916169715694473,2025-04-02 15:46:47+00:00,2025-05-11 14:09:32+00:00
repeater,True,18,130,1-6,0.0003448622665253082,0.00047580837874082785,5,0.9983178415263644,0.0005888838130979649,-0.0006789234698784112,272.26506944444446,94.0,0.9952365732712304,0.7900405434844634,2024-07-08 08:30:36+00:00,2025-04-06 14:52:18+00:00
repeater,True,18,130,2-12,0.00028522371787084467,0.0006604359314691426,5,0.997812197159827,-4.2626362750872385e-05,-0.00011093911355953801,272.26506944444446,94.0,0.9952365732712304,0.7900405434844634,2024-07-08 08:30:36+00:00,2025-04-06 14:52:18+00:00
repeater,True,18,130,4-14,4.491554659113094e-05,0.0003683383025111764,5,0.9949119568443314,-0.000294780510855086,0.00024647699690805673,272.26506944444446,94.0,0.9952365732712304,0.7900405434844634,2024-07-08 08:30:36+00:00,2025-04-06 14:52:18+00:00
repeater,True,11,143,1-6,2.7409386095265637e-05,0.0006564108611114009,3,0.9980099622150034,0.0012229240285014818,-4.297146946746507e-05,304.57796296296294,62.0,0.993020148055341,0.7749539793090233,2024-06-23 03:52:08+00:00,2025-04-23 17:44:24+00:00
repeater,True,11,143,2-12,-0.00045552708784654845,0.0004270682233977248,3,0.9984360884973107,-0.0004419162799676308,2.5160010030970252e-05,304.57796296296294,62.0,0.993020148055341,0.7749539793090233,2024-06-23 03:52:08+00:00,2025-04-23 17:44:24+00:00
repeater,True,11,143,4-14,1.813695892788341e-05,0.0005246548853318941,3,0.9962425488115383,-0.00020849068017335859,-3.355183042084295e-05,304.57796296296294,62.0,0.993020148055341,0.7749539793090233,2024-06-23 03:52:08+00:00,2025-04-23 17:44:24+00:00
repeater,True,121,148,1-6,0.000590082928926395,0.0004412875773911851,7,0.9791528672601921,-0.0002176089370383328,-0.0006426884600767067,38.93215277777778,39.0,0.9624622562233114,0.7420813700126455,2025-04-02 15:47:14+00:00,2025-05-11 14:09:32+00:00
repeater,True,121,148,2-12,-0.0004093170153946225,0.00036465366493833393,8,0.9731805761571948,-0.00026141948379962686,-4.877562174841883e-05,38.93215277777778,39.0,0.9624622562233114,0.7420813700126455,2025-04-02 15:47:14+00:00,2025-05-11 14:09:32+00:00
