tag,mag,depth,fc,fc_mad,fc_pred,n,r_m,dsigma_MPa
ev_20250406T061118,3.17,3.271,11.010732265359977,6.06222086893065,5.924488137111599,845,117.61252283593349,19.25827392734854
ev_20250322T015835,2.23,4.554,5.357488733991223,3.221190213717434,17.4844040535193,584,241.71772714774343,0.08630829781593846
ev_20250701T112654,1.86,5.004,14.42523211364126,3.5468834475358144,26.77015182132585,853,89.77325215969175,0.4693936198223538
ev_20250406T082321,1.86,3.133,4.135307831800712,1.4134926655823614,26.77015182132585,821,313.15685619372493,0.01105839971612976
ev_20240609T163544,1.85,2.792,7.06173104034812,2.6167928331289185,27.080135569871445,868,183.38279843863336,0.05319885314247156
ev_20250211T013548,1.85,5.006,11.223188286256516,6.13944708028295,27.080135569871445,736,115.38610660090298,0.21355881330301285
ev_20241230T181733,1.79,4.22,5.616125031824536,2.111652418414491,29.01688805156884,872,230.58603443863987,0.021750991360714154
ev_20250406T061956,1.77,3.172,7.873052227104707,2.8023163826048507,29.692778200965567,864,164.48512757754594,0.05592398999447161
