time,mag,depth,lat,lon,r,t,km_safod,cov_full,cov_partial,cov_frac,cov_short,cov_short_frac,tag
2024-05-01 14:18:40+00:00,0.29,2.292,35.97076,-120.51168,1.1725389705838318,2.9399885740269314,3.1651825307471135,False,False,0.0,False,0.0,ev_20240501T141840
2024-05-03 23:24:29+00:00,0.95,4.555,36.08512,-120.63852,2.0940711117427977,-14.121178275005114,14.275601903090188,False,False,0.0,False,0.0,ev_20240503T232429
2024-05-05 16:18:41+00:00,0.96,4.464,36.04157,-120.59482,1.450313011239985,-7.916855394195893,8.04860280813885,False,False,0.0,False,0.0,ev_20240505T161841
2024-05-07 04:16:43+00:00,1.07,2.752,36.00051,-120.56111,0.36674267985442266,-2.543888295210337,2.570188291105334,False,False,0.0,False,0.0,ev_20240507T041643
2024-05-10 12:29:58+00:00,1.12,1.732,36.00191,-120.5592,0.5983332273313198,-2.532442716134414,2.6021661671443965,True,True,1.0,True,1.0,ev_20240510T122958
2024-05-12 04:29:12+00:00,1.03,0.387,36.03855,-120.60439,0.6040081813431182,-8.28827607797206,8.310255485110753,True,True,0.999992,True,1.0,ev_20240512T042912
2024-05-13 09:30:29+00:00,0.78,4.723,35.99192,-120.55047,0.36830768716388645,-1.1915766603589004,1.247199057863692,True,True,0.999992,True,0.999975,ev_20240513T093029
2024-05-22 15:44:39+00:00,0.95,3.9,36.0378,-120.5946,1.1679003809139297,-7.606449073900488,7.695586970048517,True,True,0.9999199999999999,True,1.0,ev_20240522T154439
2024-05-22 21:31:27+00:00,2.03,2.369,35.98474,-120.54271,0.29749998544919437,-0.13335516699197852,0.3260212292255358,True,True,1.0,True,1.0,ev_20240522T213127
2024-05-25 04:56:28+00:00,1.44,3.851,35.9197,-120.48831,-1.355115105086226,8.441335988730323,8.549414612864824,True,True,1.0,True,1.0,ev_20240525T045628
2024-05-26 18:33:37+00:00,1.72,6.625,35.97633,-120.53383,0.201242409420748,1.0928295314425718,1.1112042531157171,True,True,1.0,True,1.0,ev_20240526T183337
2024-06-09 16:35:44+00:00,1.85,2.792,35.99685,-120.56016,0.13942267839948475,-2.195686450704866,2.200108559380882,True,True,1.0,True,1.0,ev_20240609T163544
2024-06-19 02:13:47+00:00,1.11,4.697,36.08166,-120.63307,2.168774852847698,-13.50240196913867,13.675468668332517,True,True,1.0,True,1.0,ev_20240619T021347
2024-06-19 07:49:04+00:00,2.52,11.084,35.97862,-120.52664,0.8387318872016305,1.3702247394825149,1.6065450554835785,True,True,1.0,True,1.0,ev_20240619T074904
2024-06-22 10:45:25+00:00,1.7,4.182,36.04703,-120.60334,1.3375360665745086,-8.88819771562271,8.988273547316435,True,True,0.99992,True,1.0,ev_20240622T104525
2024-06-23 03:52:08+00:00,0.99,4.644,36.03639,-120.589,1.4133249915684356,-7.1393070307856235,7.277856306057227,True,True,1.0,True,1.0,ev_20240623T035208
2024-06-25 07:21:36+00:00,1.73,2.559,36.08282,-120.64144,1.7274614386806153,-14.126121214265858,14.231353540062885,True,True,0.9999199999999999,True,1.0,ev_20240625T072136
2024-06-25 21:20:12+00:00,3.24,4.676,36.08075,-120.63366,2.059690744749412,-13.468391847777106,13.624973575360622,True,True,1.0,True,1.0,ev_20240625T212012
2024-07-03 02:54:46+00:00,1.03,10.829,35.95752,-120.50406,0.6163675755162694,4.465759594402263,4.508094691013452,True,True,1.0,True,1.0,ev_20240703T025446
2024-07-04 00:44:15+00:00,0.93,4.28,35.99841,-120.55597,0.528651150016023,-2.0517623724483918,2.118773435600965,True,True,0.9999199999999999,True,0.99975,ev_20240704T004415
2024-07-04 18:16:44+00:00,0.96,6.095,36.0677,-120.61829,2.01152843385092,-11.464488560372178,11.639619606803963,True,True,1.0,True,1.0,ev_20240704T181644
2024-07-05 08:04:57+00:00,1.2,11.206,35.96265,-120.50876,0.7206811004140596,3.763399056519627,3.8317820537064526,True,True,0.9999199999999999,True,1.0,ev_20240705T080457
2024-07-08 08:30:36+00:00,0.65,2.231,35.99938,-120.55994,0.3523362269745052,-2.380606309310537,2.406538430353392,True,True,1.0,True,1.0,ev_20240708T083036
2024-07-09 14:25:49+00:00,0.87,4.142,36.07206,-120.62599,1.8644360244650393,-12.297175299918955,12.437710482490733,True,True,1.0,True,1.0,ev_20240709T142549
2024-07-10 20:30:38+00:00,1.55,11.219,35.95767,-120.50721,0.42775168459320434,4.253556742579493,4.275010697766239,True,True,1.0,True,1.0,ev_20240710T203038
2024-07-11 18:51:18+00:00,1.14,4.968,36.01191,-120.56909,0.7553434532452858,-3.9478965502227794,4.019506300980437,True,True,0.9999199999999999,True,1.0,ev_20240711T185118
2024-07-12 03:46:44+00:00,2.68,11.509,35.97184,-120.51913,0.7834679610218981,2.381091445984437,2.5066747934441094,True,True,1.0,True,1.0,ev_20240712T034644
2024-07-12 16:11:12+00:00,2.11,11.32,35.97199,-120.52024,0.7246409963215955,2.298677520384429,2.41019146879883,False,False,0.0,False,0.0,ev_20240712T161112
2024-07-13 09:25:40+00:00,1.04,6.357,36.05389,-120.61292,1.2673922620923683,-10.037051865267168,10.116753100282459,False,False,0.0,False,0.0,ev_20240713T092540
2024-07-16 01:41:55+00:00,0.79,4.209,36.00531,-120.55902,0.8771040816101574,-2.7883096422563463,2.923009105541225,False,False,0.0,False,0.0,ev_20240716T014155
2024-07-16 16:36:12+00:00,1.3,3.04,35.96143,-120.51285,0.364546720082775,3.5991052915081063,3.6175203123803965,False,False,0.0,False,0.0,ev_20240716T163612
2024-07-18 00:22:01+00:00,0.95,4.305,36.04744,-120.60605,1.1973558984020745,-9.092848910255606,9.17134463708429,False,False,0.0,False,0.0,ev_20240718T002201
2024-08-03 13:38:35+00:00,0.92,6.827,36.05691,-120.61156,1.591360285967892,-10.18796798751234,10.311504219769882,False,False,0.0,False,0.0,ev_20240803T133835
2024-08-04 04:15:42+00:00,2.22,11.22,35.97148,-120.5191,0.7570722686221498,2.4113044597448754,2.5273598116418277,False,False,0.0,False,0.0,ev_20240804T041542
