epoch,injected_dvv,eps_outbound,eps_return,eps_equal,eps_invvar,eps_joint,w_invvar_out,w_joint_out,sigma_out,sigma_ret,rho_loo
0,-0.01,-0.009888721945,-0.0086561261,-0.0092724240225,-0.009381809958409083,-0.009406370153998426,0.5887443652782084,0.6086699521516126,0.001135879678869936,0.0013590636008267599,0.1863169377430274
0,-0.005,-0.004859299388,-0.003612077338,-0.004235688363,-0.0043463722921882365,-0.0043712239234959364,0.5887443652782084,0.6086699521516126,0.001135879678869936,0.0013590636008267599,0.1863169377430274
0,-0.002,-0.001877861207,-0.0006326892168,-0.0012552752119,-0.0013657772098325026,-0.0013905879924955623,0.5887443652782084,0.6086699521516126,0.001135879678869936,0.0013590636008267599,0.1863169377430274
0,-0.001,-0.0008850640348,0.0003431188684,-0.0002709725832,-0.00037996689539003124,-0.00040443916052417255,0.5887443652782084,0.6086699521516126,0.001135879678869936,0.0013590636008267599,0.1863169377430274
0,-0.0005,-0.0003887627814,0.0008255985161,0.00021841786734999997,0.00011065014478494099,8.645328325590485e-05,0.5887443652782084,0.6086699521516126,0.001135879678869936,0.0013590636008267599,0.1863169377430274
0,-0.0002,-9.122612724e-05,0.001116534714,0.00051265429338,0.00040547232411628127,0.0003814069805518579,0.5887443652782084,0.6086699521516126,0.001135879678869936,0.0013590636008267599,0.1863169377430274
0,-0.0001,7.756843727e-06,0.001214562125,0.0006111594843634999,0.000504062315662538,0.0004800160121912498,0.5887443652782084,0.6086699521516126,0.001135879678869936,0.0013590636008267599,0.1863169377430274
0,0.0,0.0001065532282,0.001311761876,0.0007091575521,0.0006022020756231814,0.0005781875860108644,0.5887443652782084,0.6086699521516126,0.001135879678869936,0.0013590636008267599,0.1863169377430274
0,0.0001,0.0002057116675,0.001406997321,0.00080635449425,0.0006997471614123248,0.0006758108397637364,0.5887443652782084,0.6086699521516126,0.001135879678869936,0.0013590636008267599,0.1863169377430274
0,0.0002,0.0003051859759,0.001502446349,0.0009038161624500001,0.0007975660505664898,0.0007737099349922013,0.5887443652782084,0.6086699521516126,0.001135879678869936,0.0013590636008267599,0.1863169377430274
0,0.0005,0.0006038965819,0.001802494713,0.00120319564745,0.0010968268170818839,0.0010729440458943508,0.5887443652782084,0.6086699521516126,0.001135879678869936,0.0013590636008267599,0.1863169377430274
0,0.001,0.001102810145,0.002303124331,0.001702967238,0.0015964461174290008,0.0015725291528404784,0.5887443652782084,0.6086699521516126,0.001135879678869936,0.0013590636008267599,0.1863169377430274
0,0.002,0.0020976072,0.003326476465,0.0027120418325,0.002602986609567677,0.002578500668271863,0.5887443652782084,0.6086699521516126,0.001135879678869936,0.0013590636008267599,0.1863169377430274
0,0.005,0.00504719398,0.006332572355,0.0056898831675,0.00557581307946829,0.0055502011609920325,0.5887443652782084,0.6086699521516126,0.001135879678869936,0.0013590636008267599,0.1863169377430274
0,0.01,0.009970763459,0.01126894716,0.0106198553095,0.010504648820940241,0.010478781748828329,0.5887443652782084,0.6086699521516126,0.001135879678869936,0.0013590636008267599,0.1863169377430274
1,-0.01,-0.009617940178,-0.009767889113,-0.009692914645500001,-0.00967893707404913,-0.009675801586530048,0.5932155433506202,0.614125912064335,0.0011359850543568115,0.0013718186520494742,0.186491481013694
1,-0.005,-0.004590966424,-0.004683124967,-0.004637045695500001,-0.004628455086839854,-0.004626528017725604,0.5932155433506202,0.614125912064335,0.0011359850543568115,0.0013718186520494742,0.186491481013694
