epoch,n_common_drops,leg,band_low_hz,band_high_hz,positive_power,negative_power,positive_minus_negative
18,18,return,3.0,15.0,0.026833653924938212,0.006650993860467415,0.020182660064470795
18,18,return,15.0,30.0,0.04869512554882565,0.005279874319632687,0.043415251229192965
19,18,outbound,3.0,15.0,0.08219807996211816,0.010093259136872906,0.07210482082524525
19,18,outbound,15.0,30.0,0.09646854937349875,0.005985583937724569,0.09048296543577418
19,18,return,3.0,15.0,0.022828988144844,0.008064457486390173,0.014764530658453826
19,18,return,15.0,30.0,0.04806743027661866,0.005273958069651138,0.042793472206967526
20,19,outbound,3.0,15.0,0.07259046124228209,0.010116351770474513,0.06247410947180758
20,19,outbound,15.0,30.0,0.10136741151515785,0.0071345538925391885,0.09423285762261867
20,19,return,3.0,15.0,0.02435337214921396,0.009608603934763524,0.014744768214450435
20,19,return,15.0,30.0,0.04492753870893173,0.006359864739603722,0.038567673969328004
21,19,outbound,3.0,15.0,0.08412165976413317,0.01148912929896974,0.07263253046516344
21,19,outbound,15.0,30.0,0.10885395059757552,0.006820345149922849,0.10203360544765268
21,19,return,3.0,15.0,0.024091705327661667,0.008565570530795617,0.01552613479686605
21,19,return,15.0,30.0,0.05487249315431334,0.006447906535581046,0.04842458661873229
22,18,outbound,3.0,15.0,0.08969339384440167,0.012080454059268789,0.07761293978513288
22,18,outbound,15.0,30.0,0.11800176379688232,0.0075532901461777,0.11044847365070462
22,18,return,3.0,15.0,0.022643018826350815,0.00843826447490359,0.014204754351447225
22,18,return,15.0,30.0,0.045073673759410585,0.006294802356470492,0.03877887140294009
23,18,outbound,3.0,15.0,0.08614826882118408,0.009330176329846094,0.07681809249133799
23,18,outbound,15.0,30.0,0.10234977578009252,0.0065934093519278295,0.0957563664281647
23,18,return,3.0,15.0,0.026227654112178506,0.007411385883618145,0.018816268228560362
23,18,return,15.0,30.0,0.04756574106483907,0.00606154306453301,0.04150419800030607
24,20,outbound,3.0,15.0,0.08965574699477322,0.009870707756001325,0.0797850392387719
24,20,outbound,15.0,30.0,0.10930068409234428,0.0073136777768383985,0.10198700631550588
24,20,return,3.0,15.0,0.028940765018628963,0.008917042825694325,0.020023722192934638
24,20,return,15.0,30.0,0.050606447353149786,0.006967933267396637,0.04363851408575315
25,20,outbound,3.0,15.0,0.09305538157972934,0.00897283550206094,0.08408254607766841
25,20,outbound,15.0,30.0,0.11406447652675608,0.007140544014004914,0.10692393251275117
25,20,return,3.0,15.0,0.030396740465622844,0.00672788938325344,0.023668851082369404
25,20,return,15.0,30.0,0.05873045442696855,0.006348363518334647,0.0523820909086339
26,18,outbound,3.0,15.0,0.08354762535191321,0.011679140817710782,0.07186848453420243
26,18,outbound,15.0,30.0,0.10537990035899159,0.008696660673866083,0.0966832396851255
26,18,return,3.0,15.0,0.030523506042742968,0.007457722090591042,0.023065783952151926
26,18,return,15.0,30.0,0.053639179528433494,0.0069681082835289804,0.046671071244904515
27,19,outbound,3.0,15.0,0.0912929347951363,0.011486685676412499,0.0798062491187238
27,19,outbound,15.0,30.0,0.10269520272263832,0.007538796262698343,0.09515640645993997
27,19,return,3.0,15.0,0.029526633829551285,0.009077640979151489,0.0204489928503998
27,19,return,15.0,30.0,0.05878686674348693,0.006142488011009703,0.05264437873247723
28,17,outbound,3.0,15.0,0.08646519747340646,0.009088054286344894,0.07737714318706157
28,17,outbound,15.0,30.0,0.0875294727888615,0.006536277097620802,0.0809931956912407
28,17,return,3.0,15.0,0.027125028541334598,0.009240549835306939,0.01788447870602766
28,17,return,15.0,30.0,0.04038503967168263,0.006590345339271879,0.03379469433241075
29,18,outbound,3.0,15.0,0.08956543591057448,0.011652577921604372,0.0779128579889701
29,18,outbound,15.0,30.0,0.09749087684025215,0.006130958361460576,0.09135991847879157
29,18,return,3.0,15.0,0.030231472586224592,0.009377046137910119,0.02085442644831447
29,18,return,15.0,30.0,0.04810824152634614,0.006579035321868442,0.0415292062044777
30,19,outbound,3.0,15.0,0.09301943342016894,0.009789667246974424,0.08322976617319451
30,19,outbound,15.0,30.0,0.10036784071303437,0.008048213682728029,0.09231962703030634
30,19,return,3.0,15.0,0.03245586929952,0.008349136295315295,0.024106733004204704
30,19,return,15.0,30.0,0.06241199959471684,0.006205242368497059,0.05620675722621978
31,18,outbound,3.0,15.0,0.09413078240671495,0.01131447478268685,0.0828163076240281
31,18,outbound,15.0,30.0,0.09577618104237905,0.006447172516755334,0.08932900852562371
31,18,return,3.0,15.0,0.028380565227519444,0.007167281244951187,0.021213283982568255
31,18,return,15.0,30.0,0.04752981604578052,0.006228872062484809,0.041300943983295715
32,19,outbound,3.0,15.0,0.10395700073851878,0.008024588572092053,0.09593241216642673
32,19,outbound,15.0,30.0,0.09367856099643046,0.006277202080796499,0.08740135891563396
32,19,return,3.0,15.0,0.033631054951914395,0.010295184555456496,0.0233358703964579
32,19,return,15.0,30.0,0.054402175823189444,0.006052140307657064,0.04835003551553238
33,19,outbound,3.0,15.0,0.10124823930397203,0.010278113757703846,0.09097012554626818
33,19,outbound,15.0,30.0,0.10956358056177143,0.007622379447603699,0.10194120111416773
33,19,return,3.0,15.0,0.030081508072932427,0.010076643021285978,0.020004865051646448
33,19,return,15.0,30.0,0.06639291465287983,0.006509140839249493,0.05988377381363034
34,21,outbound,3.0,15.0,0.09749137095427649,0.012534141779211926,0.08495722917506456
34,21,outbound,15.0,30.0,0.11140426251540428,0.005951967180404999,0.10545229533499928
34,21,return,3.0,15.0,0.03323031845173388,0.010093858540978145,0.023136459910755736
34,21,return,15.0,30.0,0.0509322677229256,0.006831055150674047,0.04410121257225155
35,17,outbound,3.0,15.0,0.045279282156333235,0.005841761382744237,0.039437520773588995
35,17,outbound,15.0,30.0,0.0836719020158994,0.007124379216551843,0.07654752279934755
35,17,return,3.0,15.0,0.014750834929205925,0.006370226037348879,0.008380608891857046
35,17,return,15.0,30.0,0.04094657106992676,0.006623908608161499,0.03432266246176526
36,19,outbound,3.0,15.0,0.10027314834402426,0.010825177135274883,0.08944797120874938
36,19,outbound,15.0,30.0,0.10876802721022286,0.006833565794151534,0.10193446141607132
36,19,return,3.0,15.0,0.030200853844916165,0.009703477998761931,0.020497375846154235
36,19,return,15.0,30.0,0.057773019686187574,0.006391669654916891,0.05138135003127069
37,18,outbound,3.0,15.0,0.10124988821452088,0.011857680563534072,0.08939220765098681
37,18,outbound,15.0,30.0,0.11642976207139363,0.006779074499552982,0.10965068757184065
37,18,return,3.0,15.0,0.02933586919777379,0.00915724002699811,0.020178629170775682
37,18,return,15.0,30.0,0.05673006693323544,0.006956508021265115,0.04977355891197033
38,19,outbound,3.0,15.0,0.09876725642439615,0.010613752955925222,0.08815350346847094
38,19,outbound,15.0,30.0,0.10370375297552614,0.005622724782854577,0.09808102819267156
38,19,return,3.0,15.0,0.03258177721362449,0.008512061039364322,0.02406971617426017
38,19,return,15.0,30.0,0.055953996222528786,0.00629150735889742,0.049662488863631365
39,22,outbound,3.0,15.0,0.09627046014921073,0.011780071610448091,0.08449038853876265
39,22,outbound,15.0,30.0,0.09906197762761267,0.00728874709951652,0.09177323052809615
39,22,return,3.0,15.0,0.03998845685180048,0.009411477043364178,0.030576979808436305
39,22,return,15.0,30.0,0.06762869695931947,0.007520009355917539,0.060108687603401934
40,18,outbound,3.0,15.0,0.10000302007033421,0.00853862438802229,0.09146439568231192
40,18,outbound,15.0,30.0,0.10107032406744026,0.00725012251343197,0.09382020155400829
40,18,return,3.0,15.0,0.034493378889171145,0.007926667136001549,0.026566711753169596
40,18,return,15.0,30.0,0.060811522675216875,0.007790543577318886,0.05302097909789799
41,18,outbound,3.0,15.0,0.09674214404252399,0.011455931810965311,0.08528621223155868
41,18,outbound,15.0,30.0,0.10083919465587936,0.006484969550882614,0.09435422510499675
41,18,return,3.0,15.0,0.0300925848207682,0.00922514088494929,0.020867443935818908
41,18,return,15.0,30.0,0.05200360184195034,0.006217891844742658,0.04578570999720768
42,19,outbound,3.0,15.0,0.1001291636339624,0.009677490578725703,0.0904516730552367
42,19,outbound,15.0,30.0,0.10368057726410163,0.007301078087591559,0.09637949917651006
42,19,return,3.0,15.0,0.03430870847013008,0.009433258792134601,0.02487544967799548
42,19,return,15.0,30.0,0.05390475429396075,0.007420926521956937,0.04648382777200381
43,19,outbound,3.0,15.0,0.10401564230771879,0.011154347568064073,0.09286129473965471
43,19,outbound,15.0,30.0,0.1013025397236307,0.0063499249868123955,0.09495261473681829
43,19,return,3.0,15.0,0.03795741284425827,0.010837230118262268,0.027120182725996003
43,19,return,15.0,30.0,0.06062263901191493,0.008328803520916389,0.052293835490998544
44,18,outbound,3.0,15.0,0.09510208496281339,0.010467738832677416,0.08463434613013597
44,18,outbound,15.0,30.0,0.10789866851273117,0.008171949278094361,0.0997267192346368
44,18,return,3.0,15.0,0.030314083745272512,0.008325884561600702,0.02198819918367181
44,18,return,15.0,30.0,0.05809811934971715,0.006382393017574347,0.0517157263321428
45,19,outbound,3.0,15.0,0.08968966074127102,0.010744680578623808,0.07894498016264721
45,19,outbound,15.0,30.0,0.10836032921488778,0.006740200769053805,0.10162012844583397
45,19,return,3.0,15.0,0.04060893489210092,0.00870823169620459,0.03190070319589633
45,19,return,15.0,30.0,0.07323251091429134,0.006147377081788774,0.06708513383250256
