trial_id,estimated_dvv,estimated_dvv_se,n_channels,nuisance_intercept_s,residual_scale_s,median_channel_correlation
N727c13fa29045f5c,-0.003746916563,0.001572147682,71,0.0002155728137,0.0003545506625,0.9851996303
N1610eafb4b827b90,0.001051040278,0.00212652363,71,-2.626442201e-05,0.0005448939289,0.9858934879
N32e5a401569646a2,-0.0009855084119,0.001943061171,71,0.0002936617222,0.0004958270323,0.9800558686
N2fbb626e82b7d92b,-0.01108888928,0.001852857913,71,-2.776617647e-05,0.0004463257383,0.9354778528
N041dfbae3d01f47e,-0.002474611423,0.001887232836,71,-9.550527715e-06,0.0004341840854,0.9760142565
N6d4163959cd769ce,0.008870527475,0.001940994569,71,0.0002962174356,0.000496304571,0.9767758846
N311f8f51b629ae51,0.003287765128,0.002258524224,71,0.0006206204749,0.0005953371012,0.9708213806
N5d38472dd7028961,0.001549496534,0.002169466465,71,-0.0003318501273,0.0004761967618,0.9796015024
N22d1a6c6552c0968,0.0003362953348,0.001839425017,71,0.0001312395453,0.0004673319073,0.9802466035
N022c5edd1e6471b7,-0.008152198875,0.001884577807,71,0.0005011949831,0.0005364894218,0.9705772996
N06fae1cb7d929a0a,0.003506842496,0.001982574949,71,-7.684784314e-05,0.000470279039,0.9800531864
N2842efdde4e90704,-0.0007365175768,0.002261852047,71,0.0006201151524,0.0005944841511,0.9710267782
N0ac7575620539d05,0.001563311514,0.001892436228,71,-7.680660341e-06,0.0004401856617,0.9818849564
N04451d8237d0de34,-0.004357531338,0.002097345559,69,-0.0003747020495,0.0004292390326,0.9843227267
N05e39213acd44787,0.001644462279,0.001561077828,71,6.114159732e-05,0.0003339682626,0.9823138118
N123deb44db10915b,-0.0007883324163,0.001861657752,70,-0.0001838309151,0.0004960113587,0.9838575423
N1db9194becd8cba6,-0.01149982937,0.001953367323,71,2.319325444e-05,0.0005536994051,0.9821846485
N0046d71814993051,0.00273583195,0.001632704686,70,0.0006819648976,0.0003520758938,0.9805751741
N1a3001ccc5eec18a,-0.0008461116734,0.002155967797,71,4.426662875e-05,0.0005820489741,0.9806600809
N60ef7cb1c8165c68,0.0009662636148,0.001775335763,69,-0.0002120094621,0.000399658928,0.9863378406
N6b6e9066f1e6b662,0.0009123235717,0.002139345516,69,-0.0003714923733,0.0004560314843,0.9841088653
N5fc89a4f3e5f446b,-0.0006136346554,0.001838273998,70,-3.038847274e-05,0.0004526656376,0.9341814816
N743040daa86a5202,0.0006031087014,0.001714229287,71,0.0004995830183,0.0004289803551,0.9777730107
N280bd2c3e1d979b3,-0.009393699888,0.002032578699,71,0.0001238368232,0.0005861454017,0.9817294478
N56da5d846e48a05b,0.0008994643661,0.00211524736,71,-0.0003735131065,0.0005102429798,0.949464798
N499dbe2dda760589,0.003737569686,0.001625998629,70,0.0006821993819,0.0003517210181,0.9808153808
N4e06d32199dbbeae,0.009908114192,0.00183759362,71,0.000135485549,0.0004679353198,0.9831506014
N68891508f58cebd3,0.00512012333,0.001817332691,71,4.795607242e-05,0.000443057297,0.9808902144
N324067c16527218c,0.001347772274,0.002126954983,71,-2.627203678e-05,0.0005449800624,0.9854027033
N51eb3c50343f5eab,-0.001244898021,0.00181705182,71,-0.0001372894458,0.0004110847251,0.9833325148
N5498030c1a1e99da,0.001422927163,0.001669617288,71,-0.0002472056558,0.0004284683501,0.9740605354
N35f1f28f0fa36539,-0.00514487499,0.001996851662,71,-0.0002768165686,0.0004364713073,0.9809209108
N1994f09588572b9f,0.00568240794,0.002038374673,71,0.0001272714574,0.0005872584527,0.9815835953
N26a86e2af0ccd950,-0.002626528816,0.001973897584,71,-6.912766345e-05,0.0004985736299,0.9793938398
N7485bacb24573d37,-0.002248299763,0.001572099643,71,0.00021583078,0.0003538452194,0.9860169291
N44da14cf9c4e94e5,-0.002982072766,0.001870774317,70,-0.0001848074206,0.0004982890726,0.9835458696
N5778594545ae8aed,0.001733867696,0.002168844311,71,0.0001759273259,0.0005100595057,0.980522871
N2ce3a89456f06c7f,0.0002607461061,0.00192809257,71,0.0004474529998,0.0004808835011,0.9827107191
N6e22fc5654c217d2,-0.0003990692304,0.001705044511,70,0.0001358079605,0.0003557505658,0.9895721674
N37db5aa23983f541,-0.003572917993,0.001836984293,71,-1.639555041e-05,0.000412364293,0.9723055363
N664f8f03944a59f6,-0.002505293235,0.00191643954,70,0.0002607456119,0.00058720968,0.9801124036
N417b33f39635ede9,0.004008995984,0.002024131571,70,-9.32386434e-05,0.0005328125411,0.9825135469
N2c3f7cc850cb6c1b,-0.001244316221,0.001771651393,69,-0.0002130242753,0.0003993465575,0.9865037203
