injected_dvv,n_trials,n_recovered,mean_estimated_dvv,median_estimated_dvv,bias,standard_scatter,robust_scatter_1p4826_mad,rmse,detection_probability,correct_sign_detection_probability
-0.01,46,46,-0.009916861791919565,-0.01006979586105,8.313820808043505e-05,0.0017652524569649263,0.0019073277660590993,0.0017479377967025444,1.0,1.0
-0.005,46,46,-0.004897447747436957,-0.0050065666255499994,0.00010255225256304368,0.0017690372228581666,0.001940685180795901,0.0017527056827812072,0.8260869565217391,0.8260869565217391
-0.002,46,46,-0.0018759144266608696,-0.00200064323355,0.00012408557333913047,0.0017601885905779162,0.0018715498274276998,0.001745367451691649,0.2608695652173913,0.2608695652173913
-0.001,46,46,-0.0008742778873478261,-0.0009937123746,0.00012572211265217398,0.0017584432216307508,0.00186477755977863,0.0017437627583981345,0.06521739130434782,0.06521739130434782
-0.0005,46,46,-0.0003766451752334783,-0.00051197534595,0.00012335482476652176,0.0017586254300577834,0.0018777066536579397,0.0017437734454372274,0.043478260869565216,0.021739130434782608
-0.0002,46,46,-8.569508689282606e-05,-0.00020464161961,0.00011430491310717404,0.0017472384916866071,0.0018643588483492558,0.0017319185379275597,0.043478260869565216,0.021739130434782608
-0.0001,46,46,1.359099805930435e-05,-0.0001022393747,0.00011359099805930434,0.0017473252516456996,0.0018623665303802999,0.0017319571937135844,0.043478260869565216,0.021739130434782608
0.0,46,46,0.00011279123106933703,0.0,0.00011279123106933703,0.0017474383763257694,0.0018620483822856298,0.0017320165753838609,0.06521739130434782,0.06521739130434782
0.0001,46,46,0.0002119211314476087,0.00010006884455000001,0.00011192113144760874,0.0017475126591882859,0.0018613367316169499,0.0017320334484144497,0.08695652173913043,0.06521739130434782
0.0002,46,46,0.0003111390322245653,0.00020025160285,0.00011113903222456516,0.0017475604436303835,0.00186055389161124,0.001732030251095319,0.08695652173913043,0.06521739130434782
0.0005,46,46,0.00060930617599,0.0005015466407999999,0.00010930617599,0.0017479537408859617,0.0018582719136473102,0.0017323018316774163,0.08695652173913043,0.06521739130434782
0.001,46,46,0.0011082169086084781,0.0010070458899500002,0.00010821690860847829,0.0017486912359518214,0.0018520564675554268,0.0017329614518748057,0.15217391304347827,0.13043478260869565
0.002,46,46,0.002112015569756522,0.00201216639695,0.00011201556975652174,0.0017504395355313078,0.0018396309653862,0.0017349283908397316,0.2391304347826087,0.2391304347826087
0.005,46,46,0.0051501125377282604,0.0050547681129499995,0.00015011253772826091,0.0017484255958363155,0.0018335270804297997,0.0017358195438862837,0.8913043478260869,0.8913043478260869
0.01,46,46,0.01016521698592826,0.01004403163545,0.0001652169859282608,0.0017408978567118958,0.0018477904240928999,0.0017297793692554835,1.0,1.0
