leg,trial_id,epoch,injected_dvv,estimated_dvv,max_leave_one_aperture_shift,most_influential_aperture_center_m,n_apertures
outbound,D58868aead7efc291,12,0.002,-0.00030188561415798873,0.0011135722944409423,598.2767,12
outbound,D683f183e40952213,36,-0.0005,0.0003670935265923135,0.00036987920067008926,2197.0843999999997,12
outbound,D1f9bff28df79c72b,2,-0.0005,-0.0010164974490670185,0.0008154422084014106,396.1286,12
outbound,D3d5ed51c3ee28196,24,0.001,0.0008104410927227251,0.0005468642089379561,396.1286,12
outbound,D598b29bfe08855f3,42,0.01,0.010264943663638289,0.0004095486306060752,598.2767,12
outbound,D5ae91b99ddda5fdb,20,-0.01,-0.008204885004848691,0.000518199460343087,598.2767,12
outbound,D5d41f05b82683f5a,12,0.001,-0.0012816714706610738,0.0011427165430200749,598.2767,12
outbound,D70365a5b1ba972ec,38,0.0001,0.0008407635482639167,0.00036880793178809153,396.1286,12
outbound,D31254831423e6ad7,6,-0.005,-0.005082444580473879,0.00036342661419170967,800.4247999999999,12
outbound,D51d5be471eb283b7,24,-0.005,-0.005100285422892516,0.0007470903285798428,396.1286,12
outbound,D05e2ba956d4ce3d4,6,0.0005,0.00044080757070120936,0.0004345870636208711,598.2767,12
outbound,D26ac3223997eb7a8,28,-0.002,-0.002902053270783201,0.0004129926956489556,800.4247999999999,12
outbound,D3e4ba6b468434c6c,12,-0.0002,-0.0024474859514035884,0.0011800959361063933,598.2767,12
outbound,D5e2b7c4ae5d684a9,20,-0.0001,0.001703935590900717,0.0004915485401816814,598.2767,12
outbound,D4def29431336a142,30,-0.005,-0.004970812913543325,0.0004384459833567068,396.1286,12
outbound,D65862b0298307c99,10,0.0,-0.0010600076900528896,0.0005701148174548713,800.4247999999999,12
outbound,D234a8506b4a2952e,38,-0.002,-0.0011944634980207776,0.000375441791688161,396.1286,12
outbound,D12f63dd69e46ea0c,28,0.002,0.0010429668337910455,0.00043245153581964054,396.1286,12
outbound,D3c62cc442329a7b5,36,-0.01,-0.008890320499440326,0.00040896782531971154,2601.3806,12
outbound,D61572fab1dfcb9e7,2,0.002,0.0014913248034945546,0.0008565038443632672,396.1286,12
outbound,D6555ad1fd5890d67,36,-0.001,-0.00011060122993952262,0.00037032272722598415,2197.0843999999997,12
outbound,D7aa66a52fff8600a,28,-0.0005,-0.0014181042617853188,0.00040546940506636596,800.4247999999999,12
outbound,D7ac4428bb8bc05e6,32,-0.002,-0.0009002577456515611,0.00040426729915334515,396.1286,12
outbound,D56543272e8a1c8e7,38,0.0,0.0007469940581241324,0.00037534208806097493,396.1286,12
outbound,D4141886bd2f7a882,4,0.002,0.0018758206236108208,0.0003965045235365054,2601.3806,12
outbound,D5449892b822a7b6c,18,-0.001,-0.001917313324024259,0.0006061333175632251,396.1286,12
outbound,D3b80eb85e146ffb9,18,-0.0005,-0.0014173473608926437,0.0006256749546857299,396.1286,12
outbound,D50e23c07e11ce9cf,40,-0.005,-0.004505786521493574,0.00047106865661841225,598.2767,12
outbound,D429b342d6677c590,34,0.002,0.003014801758628374,0.0004987631010657826,396.1286,12
outbound,D7803f7bdb8c831fd,34,0.0,0.0010776632423175137,0.0005600212554937675,396.1286,12
outbound,D680a0b14963bd9b7,12,-0.001,-0.0032369044248593422,0.0012164229199682092,598.2767,12
outbound,D1262ad639165292e,36,-0.002,-0.0011008396852128764,0.0003720376737777316,2197.0843999999997,12
outbound,D570fcdbbe6d29cdb,30,-0.0002,-0.00023886729173885364,0.0003545200793716045,396.1286,12
outbound,D4374f9a5ed09864b,14,-0.0001,-0.00041388360957907925,0.0008446907498215587,396.1286,12
outbound,D311e2c7f88886dd8,34,0.005,0.005960177426952491,0.0005044328548419455,396.1286,12
outbound,D60a61c7dbde6f9e4,32,0.0,0.0011216784342321223,0.00031735632184661596,800.4247999999999,12
outbound,D02f1718808cc5c68,20,-0.0002,0.0016008887055311738,0.0004925224769798387,598.2767,12
outbound,D41f39360aba25f92,24,0.0001,-8.438227886087246e-05,0.000556452932870348,396.1286,12
outbound,D45984d7718c6c6b7,2,0.001,0.0004863065158436129,0.0008419456694612218,396.1286,12
outbound,D3533a333da41b949,42,0.0001,0.0006267966493761592,0.0006217243910047001,396.1286,12
outbound,D5461ab068724a5ca,14,0.0001,-0.00021133538528365095,0.0008483986163291227,396.1286,12
outbound,D2b2712665a0a811f,24,-0.002,-0.0021434083597933785,0.0006223590017487343,396.1286,12
outbound,D19cc4687bc66f807,18,0.01,0.009372170347807853,0.0005758605526888626,800.4247999999999,12
outbound,D2dd7d91fbf574e66,26,-0.0001,-0.0015701542237947545,0.00046541450436267894,598.2767,12
outbound,D1e91d94e5008060b,28,-0.01,-0.010849374672279411,0.00039022046801337647,800.4247999999999,12
outbound,D457c51d7495a35d2,38,0.002,0.0026445164424774457,0.0003639215937739559,396.1286,12
outbound,D3eb181cd178ea2ce,38,-0.005,-0.004152354113200487,0.00032264256450266655,396.1286,12
outbound,D1884eb8b94461adc,2,-0.01,-0.010547390706259829,0.0007691504686512703,396.1286,12
outbound,D68ae7c9e8fbfb81b,38,-0.0001,0.0006537552531644116,0.000377243331195306,396.1286,12
outbound,D1d43070397a04cb0,32,0.01,0.011585233054146982,0.0008647830802116091,598.2767,12
outbound,D15c304efca1c5eb7,30,-0.002,-0.0020102070843239627,0.0004064876722429055,396.1286,12
outbound,D02c5c2ea50c2963f,44,-0.0002,-0.00027172362926660814,0.0006051672211367109,396.1286,12
outbound,D075e59f3ee6a56f9,22,-0.002,-0.0014069678739349885,0.000651254656924052,396.1286,12
outbound,D368b7d3bda0ca489,34,0.0001,0.001174180989700568,0.000558974813562162,396.1286,12
outbound,D2e37768209ad3a7e,22,0.001,0.0016094219005164001,0.0005718974878623931,396.1286,12
outbound,D27d3e26f9f5e635a,40,-0.0001,0.0004685836899207013,0.0005829586353811937,396.1286,12
outbound,D742403eeb9930378,44,0.0002,0.0001310242366132661,0.0005936259322966231,396.1286,12
outbound,D62cc4ef5bb51acac,34,0.001,0.0020473021742176307,0.00053240781551145,396.1286,12
outbound,D052945dc3bcc7229,2,0.01,0.009555999540834538,0.0010969736010883364,396.1286,12
outbound,D6b582aa3e125a68f,0,-0.005,-0.004933648466167713,0.00024554581868201954,2399.2325,12
outbound,D559c877e3d9475e8,0,0.0,-3.0373373819874407e-05,0.0002692796993560295,2399.2325,12
outbound,D72e719e82f3138bb,2,0.0,-0.0005144234189851484,0.0008214903696303263,396.1286,12
outbound,D4e6602c84050b38c,36,0.0,0.0008354469562374483,0.000369568458354626,2197.0843999999997,12
outbound,D69d407ca671170d7,16,0.0,-0.001607092848472231,0.0006271043924066194,396.1286,12
outbound,D65d90d46cd01d9fc,32,0.002,0.003193468541484399,0.00026964470739848255,800.4247999999999,12
outbound,D3ca0af85bf4fefb8,28,0.001,6.440164604863144e-05,0.00041791472202676647,396.1286,12
outbound,D0a0a4623a9bd82d1,34,-0.01,-0.008818549862252271,0.0006598455771654604,396.1286,12
outbound,D2f91c0c7ec021c86,4,0.01,0.009898475034668666,0.0003147318195837294,2601.3806,12
outbound,D4c64690683e6824e,38,0.01,0.010227165721437788,0.0004584001897427071,598.2767,12
outbound,D7da4e1587640ef44,20,0.0001,0.001911103887363383,0.0004896409157713864,598.2767,12
outbound,D67e4a7f076ae8ff5,14,-0.005,-0.0053514248325183915,0.0008243329167317796,598.2767,12
outbound,D230886324da2d7b8,4,0.0,-0.00013895813425106096,0.0004086198093015306,2601.3806,12
outbound,D5c892c0c42c6be08,12,-0.01,-0.012265110775906614,0.0012510245694180942,598.2767,12
outbound,D1bde0442ace5e7ae,20,0.01,0.011778120192828504,0.0004548469138752516,598.2767,12
outbound,D34bde64a82240a87,22,0.005,0.005694305365458524,0.0004913658965727567,396.1286,12
outbound,D619b92dad205e480,24,0.0005,0.00031342181317005644,0.0005500090637302351,396.1286,12
outbound,D638b55bada3036bf,22,-0.001,-0.00040485819905311803,0.0006240132584391775,396.1286,12
outbound,D725b40e11c0d132e,24,0.0002,1.5080438341534534e-05,0.0005548756805772208,396.1286,12
outbound,D736716827d4fc6ae,42,0.0,0.0005267892820797939,0.000620482472981331,396.1286,12
outbound,D58ffec13c452ef83,26,0.001,-0.000471451457659767,0.0004085540732732075,396.1286,12
outbound,D0dae6f6ed3a6e604,2,0.005,0.004527676804556144,0.0009173511233908759,396.1286,12
outbound,D2a44e559ab290e7b,26,-0.005,-0.006498278918433237,0.00040203215885811945,396.1286,12
outbound,D39cee4afabe6a973,30,0.001,0.0009329445579674795,0.00033522039894777803,396.1286,12
outbound,D5f26a3846f600089,40,0.01,0.01025629765095317,0.0005680947354537256,598.2767,12
outbound,D341b6a1b32f456d9,10,0.005,0.003867086208675647,0.0005676572532112389,800.4247999999999,12
outbound,D4961abf090f0221d,2,0.0005,-1.5305303013191534e-05,0.0008310843080051882,396.1286,12
outbound,D7a49ac1846fe4f68,16,0.0001,-0.0015086729569066383,0.0006308220333461738,396.1286,12
outbound,D76c7a0f1b8da46a4,8,0.005,0.005988673261162422,0.0004120797512789645,598.2767,12
outbound,D4fde3fd91c1458b7,20,-0.0005,0.0012967761700723318,0.0004941575934290382,598.2767,12
outbound,D27f8866248a05e47,6,-0.0001,-0.0001611055067922868,0.00040860887501536656,598.2767,12
outbound,D67ba43e615ddca13,22,-0.005,-0.004399657934329525,0.0007875205831485632,396.1286,12
outbound,D234a93b6d5d5c614,44,0.002,0.0019368035640596434,0.0005461376796279092,396.1286,12
outbound,D6279d0e643c44fc9,10,-0.0001,-0.0011593225213834928,0.0005689209718796983,800.4247999999999,12
outbound,D038aced6a81b5b84,0,0.002,0.0019318705914830613,0.00023729269119956466,2399.2325,12
outbound,D500add7f8cdcef18,10,0.0002,-0.0008609945443917005,0.0005734802631491083,800.4247999999999,12
outbound,D00c6dbf8285af7bb,26,0.01,0.008453126504198095,0.0004310012997792035,396.1286,12
outbound,D2c1c406efe59f81d,30,-0.0005,-0.0005347378984785741,0.00036099651881171227,396.1286,12
outbound,D2fd41a2a7ec5f736,4,0.0002,6.41355808172223e-05,0.0004056483853192936,2601.3806,12
