estimator,label,model,n_bursts,amplitude_dvv,sigma_dvv,p_surrogate,upper_limit_95_dvv,surrogate_95_dvv,vs_de_fazio,vs_niu,vs_paper1_nano_ul
outbound,Deep outbound,with_linear_trend,23,0.00036397696950427803,0.00045770400087053847,0.576,0.0012610768112105335,0.0006110380188947949,2.522153622421067,21.893694639071764,1.5802967559029242
outbound,Deep outbound,no_trend,23,0.0005608965256263437,0.0004411473282272354,0.393,0.0014255452889517252,0.0007147980719435934,2.8510905779034506,24.749050155411897,1.7863976052026633
return,Deep return,with_linear_trend,23,0.0006851065458284923,0.0007226246059827294,0.378,0.002101450773554642,0.0011522844584514892,4.202901547109284,36.48352037421254,2.633396959341657
return,Deep return,no_trend,23,0.0007989007884551782,0.00067142690375508,0.238,0.002114897519815135,0.000850337563310273,4.22979503963027,36.71697083012388,2.6502475185653322
equal,"Deep paired, equal weight",with_linear_trend,23,0.000524541757666385,0.00043305159305178796,0.454,0.0013733228800478893,0.0008842766402127964,2.7466457600957788,23.842411111942525,1.7209559900349491
equal,"Deep paired, equal weight",no_trend,23,0.0006798986570407608,0.00041216571925635525,0.328,0.0014877434667832173,0.0007777711924918746,2.9754869335664345,25.828879631653077,1.8643401839388687
invvar,"Deep paired, inverse-variance",with_linear_trend,23,0.00045995759789462047,0.00040214292151872496,0.517,0.0012481577240713213,0.0008155469508599966,2.4963154481426426,21.669404931793775,1.5641074236482724
invvar,"Deep paired, inverse-variance",no_trend,23,0.0006328320948223392,0.00038757034609813735,0.385,0.0013924699731746883,0.0007581640072019057,2.7849399463493767,24.174825923171674,1.744949841071038
joint,"Deep paired, covariance-aware",with_linear_trend,23,0.0004614748484841757,0.0004075912809399347,0.476,0.0012603537591264475,0.0008025024441955542,2.520707518252895,21.881141651500826,1.5793906755970522
joint,"Deep paired, covariance-aware",no_trend,23,0.0006390517217007318,0.00039325502737332953,0.352,0.0014098315753524578,0.0007663572611735527,2.8196631507049155,24.476242627646837,1.766706234777516
