band_low_hz,band_high_hz,band_center_hz,population_slowness_ms_per_m,population_speed_mps,population_t0_s,population_positive_semblance,population_negative_semblance,population_direction_margin,fraction_bursts_positive_preferred,bootstrap_probability_positive_preferred,bootstrap_slowness_p2p5_ms_per_m,bootstrap_slowness_median_ms_per_m,bootstrap_slowness_p97p5_ms_per_m,bootstrap_speed_p2p5_mps,bootstrap_speed_median_mps,bootstrap_speed_p97p5_mps,bootstrap_t0_p2p5_s,bootstrap_t0_median_s,bootstrap_t0_p97p5_s
15.0,25.0,20.0,0.30303030303030304,3300.0,-0.092,0.12670421600341797,0.07681206613779068,0.04989214986562729,0.5434782608695652,1.0,0.2985074626865672,0.30303030303030304,0.3076923076923077,3250.0,3300.0,3350.0,-0.092,-0.092,-0.088
25.0,35.0,30.0,0.3448275862068965,2900.0,-0.1,0.17923451960086823,0.03493572026491165,0.14429879933595657,0.9565217391304348,1.0,0.3448275862068965,0.3448275862068965,0.3448275862068965,2900.0,2900.0,2900.0,-0.1,-0.1,-0.1
35.0,45.0,40.0,0.33898305084745767,2950.0,-0.07999999999999999,0.3663669228553772,0.023248136043548584,0.3431187868118286,1.0,1.0,0.33898305084745767,0.33898305084745767,0.33898305084745767,2950.0,2950.0,2950.0,-0.092,-0.07999999999999999,-0.06799999999999998
45.0,60.0,52.5,0.33898305084745767,2950.0,-0.07599999999999998,0.3698965907096863,0.017816396430134773,0.3520801942795515,1.0,1.0,0.33898305084745767,0.33898305084745767,0.33898305084745767,2950.0,2950.0,2950.0,-0.08399999999999999,-0.07599999999999998,-0.03999999999999995
60.0,80.0,70.0,0.33898305084745767,2950.0,-0.092,0.25581642985343933,0.016587033867836,0.23922939598560333,0.9565217391304348,1.0,0.33898305084745767,0.33898305084745767,0.33898305084745767,2950.0,2950.0,2950.0,-0.1,-0.092,-0.043999999999999956
