epoch,n_common_drops,split,assumed_depth_m,leg,band_low_hz,band_high_hz,positive_semblance,negative_semblance,positive_minus_negative,positive_slowness_ms_per_m,positive_velocity_mps,positive_time_s
44,18,discovery,3192.0,outbound,3.0,15.0,0.012337547127494847,0.04985865931231392,-0.03752111218481907,0.7692307692307693,1300.0,1.152
45,19,validation,3192.0,outbound,3.0,15.0,0.0407500599363369,0.10013629467267232,-0.05938623473633542,0.7692307692307693,1300.0,1.152
0,18,discovery,3192.0,outbound,15.0,30.0,0.04634524422174442,0.027753116514308836,0.018592127707435586,0.6517094017094017,1534.4262295081967,2.268
1,17,validation,3192.0,outbound,15.0,30.0,0.44562228361390854,0.061797904528494936,0.3838243790854136,0.6517094017094017,1534.4262295081967,2.268
2,18,discovery,3192.0,outbound,15.0,30.0,0.41759568651627293,0.025439246757589185,0.39215643975868375,0.6517094017094017,1534.4262295081967,2.268
3,18,validation,3192.0,outbound,15.0,30.0,0.44475624450446966,0.05985477491282224,0.3849014695916474,0.6517094017094017,1534.4262295081967,2.268
4,19,discovery,3192.0,outbound,15.0,30.0,0.3686121581106439,0.078348034038035,0.29026412407260893,0.6517094017094017,1534.4262295081967,2.268
5,19,validation,3192.0,outbound,15.0,30.0,0.45463086669145447,0.037243759037342214,0.41738710765411224,0.6517094017094017,1534.4262295081967,2.268
6,17,discovery,3192.0,outbound,15.0,30.0,0.3983280833947114,0.04677034555132418,0.3515577378433872,0.6517094017094017,1534.4262295081967,2.268
7,19,validation,3192.0,outbound,15.0,30.0,0.45822772499552417,0.03945983853560916,0.41876788645991503,0.6517094017094017,1534.4262295081967,2.268
8,19,discovery,3192.0,outbound,15.0,30.0,0.34620121942409804,0.011088273337506444,0.3351129460865916,0.6517094017094017,1534.4262295081967,2.268
9,18,validation,3192.0,outbound,15.0,30.0,0.1198694937736019,0.02545128993337705,0.09441820384022484,0.6517094017094017,1534.4262295081967,2.268
10,18,discovery,3192.0,outbound,15.0,30.0,0.3952678448683755,0.029082043505814736,0.3661858013625608,0.6517094017094017,1534.4262295081967,2.268
11,18,validation,3192.0,outbound,15.0,30.0,0.3039134259497422,0.03348600318355337,0.2704274227661888,0.6517094017094017,1534.4262295081967,2.268
12,18,discovery,3192.0,outbound,15.0,30.0,0.3347649684669817,0.047117055094430704,0.287647913372551,0.6517094017094017,1534.4262295081967,2.268
13,20,validation,3192.0,outbound,15.0,30.0,0.34837565107200313,0.04210741029675344,0.3062682407752497,0.6517094017094017,1534.4262295081967,2.268
14,20,discovery,3192.0,outbound,15.0,30.0,0.04615758603021077,0.027607426265034395,0.018550159765176377,0.6517094017094017,1534.4262295081967,2.268
15,19,validation,3192.0,outbound,15.0,30.0,0.06320262444315751,0.02147672327391202,0.04172590116924549,0.6517094017094017,1534.4262295081967,2.268
16,20,discovery,3192.0,outbound,15.0,30.0,0.012201865873268956,0.02897918645337377,-0.016777320580104813,0.6517094017094017,1534.4262295081967,2.268
17,20,validation,3192.0,outbound,15.0,30.0,0.035546631034505484,0.02865226319420612,0.006894367840299363,0.6517094017094017,1534.4262295081967,2.268
18,18,discovery,3192.0,outbound,15.0,30.0,0.2588292899237295,0.02261209818031485,0.23621719174341466,0.6517094017094017,1534.4262295081967,2.268
19,18,validation,3192.0,outbound,15.0,30.0,0.2587552929974825,0.027115831143763987,0.23163946185371853,0.6517094017094017,1534.4262295081967,2.268
20,19,discovery,3192.0,outbound,15.0,30.0,0.19753962318317247,0.02630846310023582,0.17123116008293665,0.6517094017094017,1534.4262295081967,2.268
21,19,validation,3192.0,outbound,15.0,30.0,0.34562972275395143,0.01486624437406248,0.33076347837988895,0.6517094017094017,1534.4262295081967,2.268
22,18,discovery,3192.0,outbound,15.0,30.0,0.028057020599116862,0.022027458933933954,0.006029561665182908,0.6517094017094017,1534.4262295081967,2.268
23,18,validation,3192.0,outbound,15.0,30.0,0.026947839178056054,0.027490065176555237,-0.000542225998499183,0.6517094017094017,1534.4262295081967,2.268
24,20,discovery,3192.0,outbound,15.0,30.0,0.45465050709980687,0.06996065321968475,0.3846898538801221,0.6517094017094017,1534.4262295081967,2.268
25,20,validation,3192.0,outbound,15.0,30.0,0.06080539252469109,0.03371613300815564,0.02708925951653545,0.6517094017094017,1534.4262295081967,2.268
26,18,discovery,3192.0,outbound,15.0,30.0,0.12844611429140226,0.022286044013256182,0.10616007027814608,0.6517094017094017,1534.4262295081967,2.268
27,19,validation,3192.0,outbound,15.0,30.0,0.2227528228524309,0.018826717967850286,0.2039261048845806,0.6517094017094017,1534.4262295081967,2.268
28,17,discovery,3192.0,outbound,15.0,30.0,0.34969260769847543,0.024624329352973293,0.3250682783455021,0.6517094017094017,1534.4262295081967,2.268
29,18,validation,3192.0,outbound,15.0,30.0,0.3212755954963569,0.03210089104898155,0.28917470444737536,0.6517094017094017,1534.4262295081967,2.268
30,19,discovery,3192.0,outbound,15.0,30.0,0.3198487584052209,0.0435518130633812,0.27629694534183974,0.6517094017094017,1534.4262295081967,2.268
31,18,validation,3192.0,outbound,15.0,30.0,0.4445837555465756,0.02522662830877635,0.4193571272377992,0.6517094017094017,1534.4262295081967,2.268
32,19,discovery,3192.0,outbound,15.0,30.0,0.4254789298127189,0.05377694540207785,0.37170198441064106,0.6517094017094017,1534.4262295081967,2.268
33,19,validation,3192.0,outbound,15.0,30.0,0.03563275110440842,0.02992128663209479,0.005711464472313625,0.6517094017094017,1534.4262295081967,2.268
34,21,discovery,3192.0,outbound,15.0,30.0,0.221625056398381,0.030463917685645544,0.19116113871273546,0.6517094017094017,1534.4262295081967,2.268
35,17,validation,3192.0,outbound,15.0,30.0,0.01473225733916729,0.029347027364223337,-0.014614770025056047,0.6517094017094017,1534.4262295081967,2.268
36,19,discovery,3192.0,outbound,15.0,30.0,0.05636149528206127,0.026306460640559155,0.030055034641502113,0.6517094017094017,1534.4262295081967,2.268
37,18,validation,3192.0,outbound,15.0,30.0,0.026226821463870172,0.021229508336755187,0.004997313127114985,0.6517094017094017,1534.4262295081967,2.268
38,19,discovery,3192.0,outbound,15.0,30.0,0.2886247958197036,0.030223272678636386,0.2584015231410672,0.6517094017094017,1534.4262295081967,2.268
39,22,validation,3192.0,outbound,15.0,30.0,0.43058978374983903,0.054672166150008514,0.3759176175998305,0.6517094017094017,1534.4262295081967,2.268
40,18,discovery,3192.0,outbound,15.0,30.0,0.21029581789991608,0.026413428936745285,0.1838823889631708,0.6517094017094017,1534.4262295081967,2.268
41,18,validation,3192.0,outbound,15.0,30.0,0.47642757051372425,0.08446434693615942,0.39196322357756486,0.6517094017094017,1534.4262295081967,2.268
42,19,discovery,3192.0,outbound,15.0,30.0,0.400717776100388,0.030461866048516018,0.370255910051872,0.6517094017094017,1534.4262295081967,2.268
43,19,validation,3192.0,outbound,15.0,30.0,0.34199564466679183,0.03726272953813522,0.30473291512865663,0.6517094017094017,1534.4262295081967,2.268
44,18,discovery,3192.0,outbound,15.0,30.0,0.12732585737050456,0.016839377065637307,0.11048648030486725,0.6517094017094017,1534.4262295081967,2.268
45,19,validation,3192.0,outbound,15.0,30.0,0.3749876875459401,0.04609969355787772,0.32888799398806234,0.6517094017094017,1534.4262295081967,2.268
0,18,discovery,3192.0,return,3.0,15.0,0.0231701378286734,0.029507900032153492,-0.006337762203480091,0.5662393162393162,1766.0377358490566,1.5639999999999998
1,17,validation,3192.0,return,3.0,15.0,0.03261753053988643,0.023971780154732503,0.00864575038515393,0.5662393162393162,1766.0377358490566,1.5639999999999998
2,18,discovery,3192.0,return,3.0,15.0,0.029069224162227496,0.007557242702544008,0.02151198145968349,0.5662393162393162,1766.0377358490566,1.5639999999999998
3,18,validation,3192.0,return,3.0,15.0,0.019763560119877108,0.03405639463845143,-0.01429283451857432,0.5662393162393162,1766.0377358490566,1.5639999999999998
4,19,discovery,3192.0,return,3.0,15.0,0.07967032123957214,0.01803087441866112,0.06163944682091102,0.5662393162393162,1766.0377358490566,1.5639999999999998
5,19,validation,3192.0,return,3.0,15.0,0.051210253052788694,0.03355442405056826,0.017655829002220437,0.5662393162393162,1766.0377358490566,1.5639999999999998
6,17,discovery,3192.0,return,3.0,15.0,0.024302756537122577,0.02017037497620888,0.004132381560913698,0.5662393162393162,1766.0377358490566,1.5639999999999998
7,19,validation,3192.0,return,3.0,15.0,0.06145146979618475,0.01645825343063206,0.04499321636555269,0.5662393162393162,1766.0377358490566,1.5639999999999998
8,19,discovery,3192.0,return,3.0,15.0,0.027677969349341195,0.03132223008472796,-0.0036442607353867652,0.5662393162393162,1766.0377358490566,1.5639999999999998
9,18,validation,3192.0,return,3.0,15.0,0.026816993913896286,0.028753761236952946,-0.0019367673230566602,0.5662393162393162,1766.0377358490566,1.5639999999999998
10,18,discovery,3192.0,return,3.0,15.0,0.03621980072324239,0.01961994288272178,0.016599857840520614,0.5662393162393162,1766.0377358490566,1.5639999999999998
11,18,validation,3192.0,return,3.0,15.0,0.032846280740606706,0.010983974724032444,0.02186230601657426,0.5662393162393162,1766.0377358490566,1.5639999999999998
12,18,discovery,3192.0,return,3.0,15.0,0.04272997326052419,0.03572015949367892,0.0070098137668452715,0.5662393162393162,1766.0377358490566,1.5639999999999998
13,20,validation,3192.0,return,3.0,15.0,0.01813417512033536,0.03948452117420859,-0.021350346053873228,0.5662393162393162,1766.0377358490566,1.5639999999999998
14,20,discovery,3192.0,return,3.0,15.0,0.029065975440789985,0.027890866408362865,0.0011751090324271206,0.5662393162393162,1766.0377358490566,1.5639999999999998
15,19,validation,3192.0,return,3.0,15.0,0.021553594513466452,0.02243874524403609,-0.0008851507305696373,0.5662393162393162,1766.0377358490566,1.5639999999999998
16,20,discovery,3192.0,return,3.0,15.0,0.01991848676013618,0.011149871449054547,0.008768615311081631,0.5662393162393162,1766.0377358490566,1.5639999999999998
17,20,validation,3192.0,return,3.0,15.0,0.011931668558208715,0.013459350939114512,-0.0015276823809057972,0.5662393162393162,1766.0377358490566,1.5639999999999998
18,18,discovery,3192.0,return,3.0,15.0,0.0356426550899371,0.025688842670626502,0.0099538124193106,0.5662393162393162,1766.0377358490566,1.5639999999999998
19,18,validation,3192.0,return,3.0,15.0,0.0230790945677686,0.005772130150519088,0.017306964417249514,0.5662393162393162,1766.0377358490566,1.5639999999999998
20,19,discovery,3192.0,return,3.0,15.0,0.030909080410683826,0.021032303686674386,0.00987677672400944,0.5662393162393162,1766.0377358490566,1.5639999999999998
21,19,validation,3192.0,return,3.0,15.0,0.02720209505725048,0.07878415375584802,-0.05158205869859754,0.5662393162393162,1766.0377358490566,1.5639999999999998
22,18,discovery,3192.0,return,3.0,15.0,0.010666088926267067,0.025072051422422244,-0.014405962496155177,0.5662393162393162,1766.0377358490566,1.5639999999999998
23,18,validation,3192.0,return,3.0,15.0,0.024446587910295536,0.03329784537125624,-0.008851257460960705,0.5662393162393162,1766.0377358490566,1.5639999999999998
24,20,discovery,3192.0,return,3.0,15.0,0.02218152763470679,0.026936353199964253,-0.004754825565257463,0.5662393162393162,1766.0377358490566,1.5639999999999998
25,20,validation,3192.0,return,3.0,15.0,0.024883561227636724,0.0243165725954823,0.0005669886321544235,0.5662393162393162,1766.0377358490566,1.5639999999999998
26,18,discovery,3192.0,return,3.0,15.0,0.010240821433376672,0.039482619538145206,-0.029241798104768534,0.5662393162393162,1766.0377358490566,1.5639999999999998
27,19,validation,3192.0,return,3.0,15.0,0.0212613281507091,0.021048693387897527,0.00021263476281157406,0.5662393162393162,1766.0377358490566,1.5639999999999998
28,17,discovery,3192.0,return,3.0,15.0,0.011121873432566591,0.022043406657919998,-0.010921533225353407,0.5662393162393162,1766.0377358490566,1.5639999999999998
29,18,validation,3192.0,return,3.0,15.0,0.02488222875438128,0.02138071887850273,0.00350150987587855,0.5662393162393162,1766.0377358490566,1.5639999999999998
30,19,discovery,3192.0,return,3.0,15.0,0.028205488459783646,0.04340257000278312,-0.015197081542999476,0.5662393162393162,1766.0377358490566,1.5639999999999998
31,18,validation,3192.0,return,3.0,15.0,0.02787941500212171,0.04036644180417263,-0.012487026802050917,0.5662393162393162,1766.0377358490566,1.5639999999999998
32,19,discovery,3192.0,return,3.0,15.0,0.030068661889135873,0.03091949741015503,-0.0008508355210191561,0.5662393162393162,1766.0377358490566,1.5639999999999998
33,19,validation,3192.0,return,3.0,15.0,0.019019153510420005,0.01816846645175815,0.0008506870586618559,0.5662393162393162,1766.0377358490566,1.5639999999999998
34,21,discovery,3192.0,return,3.0,15.0,0.031986204672606565,0.015504773299084207,0.016481431373522357,0.5662393162393162,1766.0377358490566,1.5639999999999998
35,17,validation,3192.0,return,3.0,15.0,0.027273599294538414,0.030110781877052212,-0.002837182582513798,0.5662393162393162,1766.0377358490566,1.5639999999999998
36,19,discovery,3192.0,return,3.0,15.0,0.01929032298183117,0.029126673568321212,-0.009836350586490041,0.5662393162393162,1766.0377358490566,1.5639999999999998
37,18,validation,3192.0,return,3.0,15.0,0.013578060320843076,0.023846536661589455,-0.01026847634074638,0.5662393162393162,1766.0377358490566,1.5639999999999998
38,19,discovery,3192.0,return,3.0,15.0,0.032413348623353794,0.015869039924568066,0.016544308698785728,0.5662393162393162,1766.0377358490566,1.5639999999999998
39,22,validation,3192.0,return,3.0,15.0,0.03146158270122327,0.021882518462672498,0.009579064238550771,0.5662393162393162,1766.0377358490566,1.5639999999999998
40,18,discovery,3192.0,return,3.0,15.0,0.04177792658270896,0.0213898049355751,0.02038812164713386,0.5662393162393162,1766.0377358490566,1.5639999999999998
41,18,validation,3192.0,return,3.0,15.0,0.02563703720144161,0.02464245808476974,0.0009945791166718725,0.5662393162393162,1766.0377358490566,1.5639999999999998
42,19,discovery,3192.0,return,3.0,15.0,0.04273146248828882,0.0039937258088934835,0.03873773667939533,0.5662393162393162,1766.0377358490566,1.5639999999999998
43,19,validation,3192.0,return,3.0,15.0,0.03905804583660025,0.015380870499762368,0.02367717533683788,0.5662393162393162,1766.0377358490566,1.5639999999999998
44,18,discovery,3192.0,return,3.0,15.0,0.020882996295477796,0.03196557152222998,-0.011082575226752184,0.5662393162393162,1766.0377358490566,1.5639999999999998
45,19,validation,3192.0,return,3.0,15.0,0.04475759909498112,0.04203919634800405,0.002718402746977072,0.5662393162393162,1766.0377358490566,1.5639999999999998
0,18,discovery,3192.0,return,15.0,30.0,0.04896418865058844,0.04012060738109256,0.00884358126949588,0.7264957264957265,1376.4705882352941,0.632
1,17,validation,3192.0,return,15.0,30.0,0.19019549823188825,0.047564483772759215,0.14263101445912904,0.7264957264957265,1376.4705882352941,0.632
2,18,discovery,3192.0,return,15.0,30.0,0.43550196091924476,0.052824113475926894,0.38267784744331784,0.7264957264957265,1376.4705882352941,0.632
3,18,validation,3192.0,return,15.0,30.0,0.4529192575553341,0.06090362498478235,0.3920156325705517,0.7264957264957265,1376.4705882352941,0.632
4,19,discovery,3192.0,return,15.0,30.0,0.533181195320886,0.06273677960780932,0.4704444157130767,0.7264957264957265,1376.4705882352941,0.632
5,19,validation,3192.0,return,15.0,30.0,0.11213155307263424,0.033334322957892334,0.0787972301147419,0.7264957264957265,1376.4705882352941,0.632
6,17,discovery,3192.0,return,15.0,30.0,0.3629718782525429,0.04008370119484244,0.32288817705770045,0.7264957264957265,1376.4705882352941,0.632
7,19,validation,3192.0,return,15.0,30.0,0.4032171436091848,0.04564302383841376,0.357574119770771,0.7264957264957265,1376.4705882352941,0.632
8,19,discovery,3192.0,return,15.0,30.0,0.17246915043038166,0.04346233918369225,0.12900681124668942,0.7264957264957265,1376.4705882352941,0.632
9,18,validation,3192.0,return,15.0,30.0,0.12328678024501212,0.03701186039502799,0.08627491984998413,0.7264957264957265,1376.4705882352941,0.632
10,18,discovery,3192.0,return,15.0,30.0,0.050329449417361165,0.022682709831866776,0.02764673958549439,0.7264957264957265,1376.4705882352941,0.632
11,18,validation,3192.0,return,15.0,30.0,0.04082761299370151,0.0336551318001069,0.007172481193594607,0.7264957264957265,1376.4705882352941,0.632
12,18,discovery,3192.0,return,15.0,30.0,0.0381526807751805,0.024573022624854994,0.013579658150325503,0.7264957264957265,1376.4705882352941,0.632
13,20,validation,3192.0,return,15.0,30.0,0.0795957630176803,0.015089253497780276,0.06450650951990003,0.7264957264957265,1376.4705882352941,0.632
14,20,discovery,3192.0,return,15.0,30.0,0.11741839072142347,0.020756436759978243,0.09666195396144522,0.7264957264957265,1376.4705882352941,0.632
15,19,validation,3192.0,return,15.0,30.0,0.2897169848232313,0.028316857056429806,0.26140012776680155,0.7264957264957265,1376.4705882352941,0.632
16,20,discovery,3192.0,return,15.0,30.0,0.09709017961887134,0.038032717700753636,0.059057461918117705,0.7264957264957265,1376.4705882352941,0.632
17,20,validation,3192.0,return,15.0,30.0,0.019352758829799838,0.041870298918626675,-0.022517540088826837,0.7264957264957265,1376.4705882352941,0.632
18,18,discovery,3192.0,return,15.0,30.0,0.0383433599156365,0.03393066903269822,0.004412690882938275,0.7264957264957265,1376.4705882352941,0.632
19,18,validation,3192.0,return,15.0,30.0,0.05431700449162407,0.02902559614061,0.02529140835101407,0.7264957264957265,1376.4705882352941,0.632
20,19,discovery,3192.0,return,15.0,30.0,0.08689011322162693,0.056203348186211935,0.030686765035414995,0.7264957264957265,1376.4705882352941,0.632
21,19,validation,3192.0,return,15.0,30.0,0.04988985181961643,0.024459246243346857,0.025430605576269572,0.7264957264957265,1376.4705882352941,0.632
22,18,discovery,3192.0,return,15.0,30.0,0.04437778808849132,0.013238306258527765,0.031139481829963553,0.7264957264957265,1376.4705882352941,0.632
23,18,validation,3192.0,return,15.0,30.0,0.035923277641494056,0.003775587085030314,0.03214769055646374,0.7264957264957265,1376.4705882352941,0.632
24,20,discovery,3192.0,return,15.0,30.0,0.02766068463031484,0.04662154302201597,-0.018960858391701127,0.7264957264957265,1376.4705882352941,0.632
25,20,validation,3192.0,return,15.0,30.0,0.05102438610131084,0.039378562400230896,0.011645823701079944,0.7264957264957265,1376.4705882352941,0.632
26,18,discovery,3192.0,return,15.0,30.0,0.11051169965579487,0.03469355122842592,0.07581814842736895,0.7264957264957265,1376.4705882352941,0.632
27,19,validation,3192.0,return,15.0,30.0,0.0472933829358328,0.023790433893222912,0.02350294904260989,0.7264957264957265,1376.4705882352941,0.632
28,17,discovery,3192.0,return,15.0,30.0,0.012704183703484289,0.011151257979236533,0.0015529257242477557,0.7264957264957265,1376.4705882352941,0.632
29,18,validation,3192.0,return,15.0,30.0,0.018028165735849398,0.040369690911555164,-0.022341525175705767,0.7264957264957265,1376.4705882352941,0.632
30,19,discovery,3192.0,return,15.0,30.0,0.03439412317477532,0.04007119029365965,-0.005677067118884334,0.7264957264957265,1376.4705882352941,0.632
31,18,validation,3192.0,return,15.0,30.0,0.012430181023885049,0.01599094221671057,-0.003560761192825522,0.7264957264957265,1376.4705882352941,0.632
32,19,discovery,3192.0,return,15.0,30.0,0.15298222287752405,0.06280065621511965,0.0901815666624044,0.7264957264957265,1376.4705882352941,0.632
33,19,validation,3192.0,return,15.0,30.0,0.1379328825110806,0.03944447781577243,0.09848840469530817,0.7264957264957265,1376.4705882352941,0.632
34,21,discovery,3192.0,return,15.0,30.0,0.05613902807764936,0.03984843812883682,0.016290589948812537,0.7264957264957265,1376.4705882352941,0.632
35,17,validation,3192.0,return,15.0,30.0,0.13268441589387794,0.03383691365022676,0.09884750224365119,0.7264957264957265,1376.4705882352941,0.632
36,19,discovery,3192.0,return,15.0,30.0,0.4672583306181555,0.06848697797808985,0.3987713526400657,0.7264957264957265,1376.4705882352941,0.632
37,18,validation,3192.0,return,15.0,30.0,0.2257198957316144,0.030868307469968045,0.19485158826164636,0.7264957264957265,1376.4705882352941,0.632
38,19,discovery,3192.0,return,15.0,30.0,0.10964488892838481,0.04553461928920203,0.06411026963918279,0.7264957264957265,1376.4705882352941,0.632
39,22,validation,3192.0,return,15.0,30.0,0.38014166362836616,0.022838542748676322,0.35730312087968985,0.7264957264957265,1376.4705882352941,0.632
40,18,discovery,3192.0,return,15.0,30.0,0.47576529805461143,0.09566331999034297,0.3801019780642685,0.7264957264957265,1376.4705882352941,0.632
41,18,validation,3192.0,return,15.0,30.0,0.1157373108236254,0.03536354574365521,0.08037376507997018,0.7264957264957265,1376.4705882352941,0.632
42,19,discovery,3192.0,return,15.0,30.0,0.1089683150621096,0.05795384627106591,0.051014468791043696,0.7264957264957265,1376.4705882352941,0.632
43,19,validation,3192.0,return,15.0,30.0,0.3446205657380817,0.04813742852900015,0.29648313720908154,0.7264957264957265,1376.4705882352941,0.632
44,18,discovery,3192.0,return,15.0,30.0,0.11431516629799877,0.015215545914040703,0.09909962038395807,0.7264957264957265,1376.4705882352941,0.632
45,19,validation,3192.0,return,15.0,30.0,0.2826395280163524,0.03919865828094038,0.243440869735412,0.7264957264957265,1376.4705882352941,0.632
0,18,discovery,3302.0,outbound,3.0,15.0,0.008298601144306108,0.047535603208705396,-0.039237002064399285,0.6196581196581197,1613.7931034482758,1.244
1,17,validation,3302.0,outbound,3.0,15.0,0.03154716891507114,0.07942665289424368,-0.04787948397917254,0.6196581196581197,1613.7931034482758,1.244
2,18,discovery,3302.0,outbound,3.0,15.0,0.006946640974121248,0.037828152603547716,-0.03088151162942647,0.6196581196581197,1613.7931034482758,1.244
