burst_id,n_drops_per_substack,trial,independent_substack_ncc,independent_substack_delay_s,independent_substack_least_squares_gain
0,1,0,0.41597704722762546,-0.0032918145077449248,1.1263385822121363
0,1,1,0.9455911626073905,-0.0001345662446306469,1.0333356322879914
0,1,2,0.5320693592023281,-0.0011410121515358863,0.504032638595812
0,1,3,0.45230917387848346,-0.0014608200953555319,1.0417866833567448
0,1,4,0.9848139489176561,0.0003852897092472078,0.9694258826094873
0,1,5,0.9882844176108554,0.0007178939623252922,0.8309450254914994
0,1,6,0.430315137957544,-0.0038506820525909652,1.3351073048875997
0,1,7,0.6293555346847655,0.00026698869191248083,0.9082502713805353
0,1,8,0.7884852862659404,-0.0010948773809890003,1.6277585757728277
0,1,9,0.7832234029147989,-0.0002476141420719784,0.5208796338893494
0,1,10,0.6558302213291369,0.0020771959091117555,0.443072364390194
0,1,11,0.9923378982968163,0.00022596828352569603,0.947598313634277
0,1,12,0.45230917387848346,0.0014608200953555323,0.19656564230853107
0,1,13,0.4515830658613243,0.001054457618256324,2.1111593042092456
0,1,14,0.6558302213291369,0.0020771959091117555,0.443072364390194
0,1,15,0.7888792982320328,-0.000758689279621438,1.653511927869005
0,1,16,0.9434335695848394,-0.0005847143618331334,1.1859621222295416
0,1,17,0.9882702992746681,-0.00032827716994835403,1.1574011380419076
0,1,18,0.43972621186114325,0.0012165499149441447,0.19661883250271675
0,1,19,0.7780079972447903,-0.0005643526980342468,0.4556025462587926
0,1,20,0.9046581124887972,-0.001148409916778867,1.0237369108717433
0,1,21,0.4418227526306191,0.0016991702434119556,0.19448410616318967
0,1,22,0.9868453221718484,-0.0003942242091133952,1.1317908480674028
0,1,23,0.9830179382043851,-0.0005036414434954537,1.0318188360137115
0,1,24,0.9894411927057116,-0.00035974538169988103,1.0591895031232128
0,1,25,0.9600838697135652,0.0003660837466557899,0.8830319979313476
0,1,26,0.9901256612427597,-0.00019262648323750507,0.9237326502674819
0,1,27,0.9581706038457175,-0.0007563802948392564,1.3084941783205375
